g6.t1_1	BRAKERILHT00000001257_1
g4235.t1_1	BRAKERILHT00000013600_1
g4236.t2_1	BRAKERILHT00000013389_1
g4243.t2_1	BRAKERILHT00000013973_1
g4244.t1_1	BRAKERILHT00000013805_1
g4251.t1_1	BRAKERILHT00000012919_1
g4253.t1_1	BRAKERILHT00000013720_1
g4255.t1_1	BRAKERILHT00000012837_1
g4256.t1_1	BRAKERILHT00000011124_1
g4258.t1_1	BRAKERILHT00000012422_1
g4259.t2_1	BRAKERILHT00000013368_1
g4260.t1_1	BRAKERILHT00000012607_1
g4261.t1_1	BRAKERILHT00000012872_1
g4262.t1_1	BRAKERILHT00000013523_1
g4263.t1_1	BRAKERILHT00000013213_1
g4264.t1_1	BRAKERILHT00000012566_1
g4265.t1_1	BRAKERILHT00000013227_1
g4267.t2_1	BRAKERILHT00000012819_1
g4269.t1_1	BRAKERILHT00000013206_1
g4270.t1_1	BRAKERILHT00000012531_1
g4271.t2_1	BRAKERILHT00000013938_1
g4272.t1_1	BRAKERILHT00000012637_1
g4274.t1_1	BRAKERILHT00000012824_1
g4278.t1_1	BRAKERILHT00000013887_1
g4279.t7_1	BRAKERILHT00000013260_1
g4283.t1_1	BRAKERILHT00000013074_1
g4284.t1_1	BRAKERILHT00000012488_1
g4286.t1_1	BRAKERILHT00000013865_1
g4288.t1_1	BRAKERILHT00000013029_1
g4289.t2_1	BRAKERILHT00000013427_1
g4290.t1_1	BRAKERILHT00000012539_1
g4291.t1_1	BRAKERILHT00000013675_1
g4294.t1_1	BRAKERILHT00000013342_1
g4296.t1_1	BRAKERILHT00000012954_1
g4298.t1_1	BRAKERILHT00000012196_1
g4300.t1_1	BRAKERILHT00000013540_1
g4301.t1_1	BRAKERILHT00000013201_1
g4302.t2_1	BRAKERILHT00000012369_1
g4303.t1_1	BRAKERILHT00000008119_1
g4304.t1_1	BRAKERILHT00000013785_1
g4305.t1_1	BRAKERILHT00000012851_1
g4306.t1_1	BRAKERILHT00000012967_1
g4307.t1_1	BRAKERILHT00000012561_1
g4308.t1_1	BRAKERILHT00000013694_1
g4309.t1_1	BRAKERILHT00000013341_1
g4310.t1_1	BRAKERILHT00000013767_1
g4311.t1_1	BRAKERILHT00000013081_1
g4312.t1_1	BRAKERILHT00000012633_1
g4313.t1_1	BRAKERILHT00000014013_1
g4314.t2_1	BRAKERILHT00000012848_1
g4315.t1_1	BRAKERILHT00000012362_1
g4316.t1_1	BRAKERILHT00000013783_1
g4317.t1_1	BRAKERILHT00000012451_1
g4318.t1_1	BRAKERILHT00000013132_1
g4323.t1_1	BRAKERILHT00000003920_1
g4324.t1_1	BRAKERILHT00000013991_1
g4325.t1_1	BRAKERILHT00000012399_1
g4326.t1_1	BRAKERILHT00000012817_1
g4327.t2_1	BRAKERILHT00000012665_1
g4328.t1_1	BRAKERILHT00000013038_1
g4329.t2_1	BRAKERILHT00000013599_1
g4330.t1_1	BRAKERILHT00000012997_1
g4331.t1_1	BRAKERILHT00000013877_1
g4332.t1_1	BRAKERILHT00000013697_1
g4333.t1_1	BRAKERILHT00000012498_1
g4334.t1_1	BRAKERILHT00000012991_1
g4335.t1_1	BRAKERILHT00000012996_1
g4338.t1_1	BRAKERILHT00000012685_1
g4339.t1_1	BRAKERILHT00000013285_1
g4340.t1_1	BRAKERILHT00000013661_1
g4342.t1_1	BRAKERILHT00000012892_1
g4347.t1_1	BRAKERILHT00000013230_1
g4348.t1_1	BRAKERILHT00000013133_1
g4350.t2_1	BRAKERILHT00000013187_1
g4351.t1_1	BRAKERILHT00000012727_1
g4353.t1_1	BRAKERILHT00000012401_1
g4355.t1_1	BRAKERILHT00000013612_1
g4356.t2_1	BRAKERILHT00000013667_1
g4357.t1_1	BRAKERILHT00000013211_1
g4358.t1_1	BRAKERILHT00000013099_1
g4361.t1_1	BRAKERILHT00000012615_1
g4362.t1_1	BRAKERILHT00000013135_1
g4364.t2_1	BRAKERILHT00000012532_1
g4366.t2_1	BRAKERILHT00000013039_1
g4367.t1_1	BRAKERILHT00000013127_1
g4368.t1_1	BRAKERILHT00000015590_1
g4370.t1_1	BRAKERILHT00000013103_1
g4371.t1_1	BRAKERILHT00000013323_1
g4372.t2_1	BRAKERILHT00000013756_1
g4373.t1_1	BRAKERILHT00000013712_1
g4374.t1_1	BRAKERILHT00000013644_1
g4376.t1_1	BRAKERILHT00000013995_1
g4378.t1_1	BRAKERILHT00000013827_1
g4379.t1_1	BRAKERILHT00000013458_1
g4383.t1_1	BRAKERILHT00000012979_1
g4385.t1_1	BRAKERILHT00000012695_1
g4386.t1_1	BRAKERILHT00000012406_1
g4387.t1_1	BRAKERILHT00000012873_1
g4388.t2_1	BRAKERILHT00000013017_1
g4389.t1_1	BRAKERILHT00000013771_1
g4390.t1_1	BRAKERILHT00000012937_1
g4391.t4_1	BRAKERILHT00000013299_1
g4392.t1_1	BRAKERILHT00000012525_1
g4393.t1_1	BRAKERILHT00000013110_1
g4394.t1_1	BRAKERILHT00000013463_1
g4395.t1_1	BRAKERILHT00000013706_1
g4396.t1_1	BRAKERILHT00000013607_1
g4397.t1_1	BRAKERILHT00000013733_1
g4398.t1_1	BRAKERILHT00000012423_1
g4399.t1_1	BRAKERILHT00000013426_1
g4400.t1_1	BRAKERILHT00000012738_1
g4401.t1_1	BRAKERILHT00000013083_1
g4402.t1_1	BRAKERILHT00000012823_1
g4403.t1_1	BRAKERILHT00000014014_1
g4404.t1_1	BRAKERILHT00000008927_1
g4405.t1_1	BRAKERILHT00000012502_1
g4406.t1_1	BRAKERILHT00000013452_1
g4407.t1_1	BRAKERILHT00000004045_1
g4408.t1_1	BRAKERILHT00000012368_1
g4409.t1_1	BRAKERILHT00000013679_1
g4413.t1_1	BRAKERILHT00000013316_1
g4414.t1_1	BRAKERILHT00000012956_1
g4415.t1_1	BRAKERILHT00000013914_1
g4417.t1_1	BRAKERILHT00000013548_1
g4418.t1_1	BRAKERILHT00000013328_1
g4420.t1_1	BRAKERILHT00000012582_1
g4421.t2_1	BRAKERILHT00000013846_1
g4425.t1_1	BRAKERILHT00000013552_1
g4426.t2_1	BRAKERILHT00000013190_1
g4427.t2_1	BRAKERILHT00000012499_1
g4429.t1_1	BRAKERILHT00000011205_1
g4431.t1_1	BRAKERILHT00000013811_1
g4432.t2_1	BRAKERILHT00000013672_1
g4433.t2_1	BRAKERILHT00000012972_1
g4434.t1_1	BRAKERILHT00000012711_1
g4435.t2_1	BRAKERILHT00000014019_1
g4439.t1_1	BRAKERILHT00000013653_1
g4440.t1_1	BRAKERILHT00000013274_1
g4441.t1_1	BRAKERILHT00000012960_1
g4442.t1_1	BRAKERILHT00000012357_1
g4443.t1_1	BRAKERILHT00000013849_1
g4444.t2_1	BRAKERILHT00000012941_1
g4445.t1_1	BRAKERILHT00000012452_1
g4447.t1_1	BRAKERILHT00000013681_1
g4450.t1_1	BRAKERILHT00000017990_1
g4454.t1_1	BRAKERILHT00000013666_1
g4455.t1_1	BRAKERILHT00000012791_1
g4456.t1_1	BRAKERILHT00000012529_1
g4457.t1_1	BRAKERILHT00000013814_1
g4458.t2_1	BRAKERILHT00000013150_1
g4459.t1_1	BRAKERILHT00000013603_1
g4460.t2_1	BRAKERILHT00000013855_1
g4461.t1_1	BRAKERILHT00000012914_1
g4462.t1_1	BRAKERILHT00000013383_1
g4463.t1_1	BRAKERILHT00000013549_1
g4464.t1_1	BRAKERILHT00000013780_1
g4465.t1_1	BRAKERILHT00000013442_1
g4466.t1_1	BRAKERILHT00000012718_1
g4467.t1_1	BRAKERILHT00000013085_1
g4468.t2_1	BRAKERILHT00000012857_1
g4469.t1_1	BRAKERILHT00000014024_1
g4471.t1_1	BRAKERILHT00000013229_1
g4472.t1_1	BRAKERILHT00000012860_1
g4473.t1_1	BRAKERILHT00000012705_1
g4474.t1_1	BRAKERILHT00000013901_1
g4475.t1_1	BRAKERILHT00000013023_1
g4476.t1_1	BRAKERILHT00000012655_1
g4477.t1_1	BRAKERILHT00000012464_1
g4478.t1_1	BRAKERILHT00000012800_1
g4480.t1_1	BRAKERILHT00000012394_1
g4481.t1_1	BRAKERILHT00000012952_1
g4482.t1_1	BRAKERILHT00000013923_1
g4483.t1_1	BRAKERILHT00000013569_1
g4484.t1_1	BRAKERILHT00000013794_1
g4485.t1_1	BRAKERILHT00000013508_1
g4486.t1_1	BRAKERILHT00000012402_1
g4487.t1_1	BRAKERILHT00000012585_1
g4488.t1_1	BRAKERILHT00000013170_1
g4489.t1_1	BRAKERILHT00000013565_1
g4490.t1_1	BRAKERILHT00000013939_1
g4493.t1_1	BRAKERILHT00000013010_1
g4494.t1_1	BRAKERILHT00000013410_1
g4495.t1_1	BRAKERILHT00000013742_1
g4496.t1_1	BRAKERILHT00000013638_1
g4497.t1_1	BRAKERILHT00000013417_1
g4499.t1_1	BRAKERILHT00000013514_1
g4500.t2_1	BRAKERILHT00000013690_1
g4501.t3_1	BRAKERILHT00000013864_1
g4504.t1_1	BRAKERILHT00000012460_1
g4505.t1_1	BRAKERILHT00000013725_1
g4507.t2_1	BRAKERILHT00000013816_1
g4509.t1_1	BRAKERILHT00000012802_1
g4510.t1_1	BRAKERILHT00000013601_1
g4511.t1_1	BRAKERILHT00000013957_1
g4513.t1_1	BRAKERILHT00000013517_1
g4514.t1_1	BRAKERILHT00000013392_1
g4515.t1_1	BRAKERILHT00000013020_1
g4516.t1_1	BRAKERILHT00000013630_1
g4517.t1_1	BRAKERILHT00000013861_1
g4518.t1_1	BRAKERILHT00000013490_1
g4519.t1_1	BRAKERILHT00000013053_1
g4520.t1_1	BRAKERILHT00000013283_1
g4521.t1_1	BRAKERILHT00000013347_1
g4522.t1_1	BRAKERILHT00000012922_1
g4523.t2_1	BRAKERILHT00000012818_1
g4524.t1_1	BRAKERILHT00000013499_1
g4525.t1_1	BRAKERILHT00000013152_1
g4526.t1_1	BRAKERILHT00000012517_1
g4527.t1_1	BRAKERILHT00000012509_1
g4531.t1_1	BRAKERILHT00000013717_1
g4532.t1_1	BRAKERILHT00000013862_1
g4533.t1_1	BRAKERILHT00000012974_1
g4535.t1_1	BRAKERILHT00000013139_1
g4536.t1_1	BRAKERILHT00000013910_1
g4537.t2_1	BRAKERILHT00000013868_1
g4538.t2_1	BRAKERILHT00000012884_1
g4539.t1_1	BRAKERILHT00000013243_1
g4540.t1_1	BRAKERILHT00000012383_1
g4541.t1_1	BRAKERILHT00000013357_1
g4542.t1_1	BRAKERILHT00000012955_1
g4543.t1_1	BRAKERILHT00000012609_1
g4544.t1_1	BRAKERILHT00000013758_1
g4545.t2_1	BRAKERILHT00000013355_1
g4554.t1_1	BRAKERILHT00000006172_1
g4557.t1_1	BRAKERILHT00000013817_1
g4558.t1_1	BRAKERILHT00000012503_1
g4561.t1_1	BRAKERILHT00000013872_1
g4562.t1_1	BRAKERILHT00000013156_1
g4563.t1_1	BRAKERILHT00000012596_1
g4565.t1_1	BRAKERILHT00000013384_1
g4566.t1_1	BRAKERILHT00000013713_1
g4567.t1_1	BRAKERILHT00000012500_1
g4568.t1_1	BRAKERILHT00000012743_1
g4569.t1_1	BRAKERILHT00000013049_1
g4570.t1_1	BRAKERILHT00000012736_1
g4571.t1_1	BRAKERILHT00000013489_1
g4572.t1_1	BRAKERILHT00000013388_1
g4573.t2_1	BRAKERILHT00000012404_1
g4574.t1_1	BRAKERILHT00000013618_1
g4575.t2_1	BRAKERILHT00000013584_1
g4576.t1_1	BRAKERILHT00000013013_1
g4577.t1_1	BRAKERILHT00000012584_1
g4578.t1_1	BRAKERILHT00000012744_1
g4579.t1_1	BRAKERILHT00000013216_1
g4580.t1_1	BRAKERILHT00000012722_1
g4581.t1_1	BRAKERILHT00000013453_1
g4582.t1_1	BRAKERILHT00000013893_1
g4583.t2_1	BRAKERILHT00000013801_1
g4586.t1_1	BRAKERILHT00000013863_1
g4587.t1_1	BRAKERILHT00000013111_1
g4588.t2_1	BRAKERILHT00000013339_1
g4589.t1_1	BRAKERILHT00000013026_1
g4590.t1_1	BRAKERILHT00000012538_1
g4592.t1_1	BRAKERILHT00000013570_1
g4593.t1_1	BRAKERILHT00000012936_1
g4594.t1_1	BRAKERILHT00000013434_1
g4595.t1_1	BRAKERILHT00000012975_1
g4597.t1_1	BRAKERILHT00000012492_1
g4598.t1_1	BRAKERILHT00000013184_1
g4599.t1_1	BRAKERILHT00000012716_1
g4600.t1_1	BRAKERILHT00000013917_1
g4601.t1_1	BRAKERILHT00000013560_1
g4602.t2_1	BRAKERILHT00000012463_1
g4603.t1_1	BRAKERILHT00000013920_1
g4604.t1_1	BRAKERILHT00000013252_1
g4605.t1_1	BRAKERILHT00000012815_1
g4606.t1_1	BRAKERILHT00000013364_1
g4607.t1_1	BRAKERILHT00000013813_1
g4608.t1_1	BRAKERILHT00000013510_1
g4609.t1_1	BRAKERILHT00000012392_1
g4610.t1_1	BRAKERILHT00000012890_1
g4613.t1_1	BRAKERILHT00000012535_1
g4614.t1_1	BRAKERILHT00000012638_1
g4615.t1_1	BRAKERILHT00000013564_1
g4616.t1_1	BRAKERILHT00000013401_1
g4618.t1_1	BRAKERILHT00000012838_1
g4619.t1_1	BRAKERILHT00000012603_1
g4620.t1_1	BRAKERILHT00000013188_1
g4621.t1_1	BRAKERILHT00000013895_1
g4622.t1_1	BRAKERILHT00000013693_1
g4623.t1_1	BRAKERILHT00000012610_1
g4625.t1_1	BRAKERILHT00000013182_1
g4626.t1_1	BRAKERILHT00000013233_1
g4627.t2_1	BRAKERILHT00000013781_1
g4628.t1_1	BRAKERILHT00000012717_1
g4629.t1_1	BRAKERILHT00000013402_1
g4630.t1_1	BRAKERILHT00000013424_1
g4631.t1_1	BRAKERILHT00000012366_1
g4632.t1_1	BRAKERILHT00000013688_1
g4633.t1_1	BRAKERILHT00000013315_1
g4635.t1_1	BRAKERILHT00000012959_1
g4636.t1_1	BRAKERILHT00000013104_1
g4637.t1_1	BRAKERILHT00000012534_1
g4638.t1_1	BRAKERILHT00000013980_1
g4639.t2_1	BRAKERILHT00000013308_1
g4640.t1_1	BRAKERILHT00000012942_1
g4642.t1_1	BRAKERILHT00000012674_1
g4644.t1_1	BRAKERILHT00000012560_1
g4645.t1_1	BRAKERILHT00000013180_1
g4647.t1_1	BRAKERILHT00000012641_1
g4649.t1_1	BRAKERILHT00000013396_1
g4650.t1_1	BRAKERILHT00000011760_1
g4652.t1_1	BRAKERILHT00000013015_1
g4653.t1_1	BRAKERILHT00000013037_1
g4655.t1_1	BRAKERILHT00000013191_1
g4656.t2_1	BRAKERILHT00000013655_1
g4657.t1_1	BRAKERILHT00000013890_1
g4658.t1_1	BRAKERILHT00000012713_1
g4659.t1_1	BRAKERILHT00000012958_1
g4660.t1_1	BRAKERILHT00000013436_1
g4661.t1_1	BRAKERILHT00000013746_1
g4662.t1_1	BRAKERILHT00000012707_1
g4663.t2_1	BRAKERILHT00000013576_1
g4664.t1_1	BRAKERILHT00000012792_1
g4666.t1_1	BRAKERILHT00000012441_1
g4667.t1_1	BRAKERILHT00000013731_1
g4668.t2_1	BRAKERILHT00000013391_1
g4670.t1_1	BRAKERILHT00000013539_1
g4671.t1_1	BRAKERILHT00000013181_1
g4673.t1_1	BRAKERILHT00000012421_1
g4674.t1_1	BRAKERILHT00000013456_1
g4675.t1_1	BRAKERILHT00000013209_1
g4676.t1_1	BRAKERILHT00000013343_1
g4678.t1_1	BRAKERILHT00000012971_1
g4679.t1_1	BRAKERILHT00000013544_1
g4680.t1_1	BRAKERILHT00000013931_1
g4682.t1_1	BRAKERILHT00000013387_1
g4683.t1_1	BRAKERILHT00000012913_1
g4684.t2_1	BRAKERILHT00000012391_1
g4685.t1_1	BRAKERILHT00000013621_1
g4686.t1_1	BRAKERILHT00000013130_1
g4687.t1_1	BRAKERILHT00000012445_1
g4689.t1_1	BRAKERILHT00000013837_1
g4690.t2_1	BRAKERILHT00000013592_1
g4691.t1_1	BRAKERILHT00000012764_1
g4694.t1_1	BRAKERILHT00000013852_1
g4695.t3_1	BRAKERILHT00000012810_1
g4696.t3_1	BRAKERILHT00000013043_1
g4697.t1_1	BRAKERILHT00000012753_1
g4698.t1_1	BRAKERILHT00000012680_1
g4699.t1_1	BRAKERILHT00000012795_1
g4702.t1_1	BRAKERILHT00000013262_1
g4703.t1_1	BRAKERILHT00000013806_1
g4705.t1_1	BRAKERILHT00000012491_1
g4706.t1_1	BRAKERILHT00000013380_1
g4707.t2_1	BRAKERILHT00000013626_1
g4708.t2_1	BRAKERILHT00000012928_1
g4709.t1_1	BRAKERILHT00000012639_1
g4710.t1_1	BRAKERILHT00000013853_1
g4713.t1_1	BRAKERILHT00000013359_1
g4716.t1_1	BRAKERILHT00000012629_1
g4717.t1_1	BRAKERILHT00000012516_1
g4718.t1_1	BRAKERILHT00000013721_1
g4720.t1_1	BRAKERILHT00000013076_1
g4721.t1_1	BRAKERILHT00000012590_1
g4722.t2_1	BRAKERILHT00000012709_1
g4723.t1_1	BRAKERILHT00000013613_1
g4724.t1_1	BRAKERILHT00000013975_1
g4725.t2_1	BRAKERILHT00000012776_1
g4726.t1_1	BRAKERILHT00000013778_1
g4727.t1_1	BRAKERILHT00000012602_1
g4728.t1_1	BRAKERILHT00000012770_1
g4729.t2_1	BRAKERILHT00000013477_1
g4730.t2_1	BRAKERILHT00000013024_1
g4731.t1_1	BRAKERILHT00000012519_1
g4732.t1_1	BRAKERILHT00000013718_1
g4733.t1_1	BRAKERILHT00000013259_1
g4734.t1_1	BRAKERILHT00000012794_1
g4735.t2_1	BRAKERILHT00000013125_1
g4736.t1_1	BRAKERILHT00000013691_1
g4737.t2_1	BRAKERILHT00000013423_1
g4738.t1_1	BRAKERILHT00000013196_1
g4739.t1_1	BRAKERILHT00000012465_1
g4740.t1_1	BRAKERILHT00000001790_1
g4742.t2_1	BRAKERILHT00000013120_1
g4743.t1_1	BRAKERILHT00000013994_1
g4744.t1_1	BRAKERILHT00000013522_1
g4745.t1_1	BRAKERILHT00000012664_1
g4746.t1_1	BRAKERILHT00000013124_1
g4747.t1_1	BRAKERILHT00000013579_1
g4748.t1_1	BRAKERILHT00000013468_1
g4749.t1_1	BRAKERILHT00000013937_1
g4750.t1_1	BRAKERILHT00000012746_1
g4752.t1_1	BRAKERILHT00000012551_1
g4753.t1_1	BRAKERILHT00000013987_1
g4760.t1_1	BRAKERILHT00000013131_1
g4761.t1_1	BRAKERILHT00000013859_1
g4762.t1_1	BRAKERILHT00000012397_1
g4763.t1_1	BRAKERILHT00000012628_1
g4764.t1_1	BRAKERILHT00000013409_1
g4765.t1_1	BRAKERILHT00000013528_1
g4767.t1_1	BRAKERILHT00000013990_1
g4768.t1_1	BRAKERILHT00000012354_1
g4769.t1_1	BRAKERILHT00000012842_1
g4770.t1_1	BRAKERILHT00000013306_1
g4771.t1_1	BRAKERILHT00000013739_1
g4772.t1_1	BRAKERILHT00000012537_1
g4773.t1_1	BRAKERILHT00000012908_1
g4774.t1_1	BRAKERILHT00000013475_1
g4775.t1_1	BRAKERILHT00000013867_1
g4776.t1_1	BRAKERILHT00000012731_1
g4777.t1_1	BRAKERILHT00000013305_1
g4778.t1_1	BRAKERILHT00000013658_1
g4779.t1_1	BRAKERILHT00000012533_1
g4780.t2_1	BRAKERILHT00000012926_1
g4781.t1_1	BRAKERILHT00000013831_1
g4786.t1_1	BRAKERILHT00000013504_1
g4788.t1_1	BRAKERILHT00000013497_1
g4789.t1_1	BRAKERILHT00000012969_1
g4790.t2_1	BRAKERILHT00000013101_1
g4793.t1_1	BRAKERILHT00000012700_1
g4794.t3_1	BRAKERILHT00000012980_1
g4795.t2_1	BRAKERILHT00000013702_1
g4796.t1_1	BRAKERILHT00000012681_1
g4798.t2_1	BRAKERILHT00000012557_1
g4799.t1_1	BRAKERILHT00000014001_1
g4800.t1_1	BRAKERILHT00000013749_1
g4801.t1_1	BRAKERILHT00000013582_1
g4803.t1_1	BRAKERILHT00000013716_1
g4804.t1_1	BRAKERILHT00000012411_1
g4805.t1_1	BRAKERILHT00000013594_1
g4806.t1_1	BRAKERILHT00000012381_1
g4807.t1_1	BRAKERILHT00000012620_1
g4808.t3_1	BRAKERILHT00000012690_1
g4809.t3_1	BRAKERILHT00000013954_1
g4810.t1_1	BRAKERILHT00000013344_1
g4814.t1_1	BRAKERILHT00000012767_1
g4816.t1_1	BRAKERILHT00000012699_1
g4821.t1_1	BRAKERILHT00000012523_1
g4823.t2_1	BRAKERILHT00000013572_1
g4825.t1_1	BRAKERILHT00000013810_1
g4826.t1_1	BRAKERILHT00000012875_1
g4828.t1_1	BRAKERILHT00000013173_1
g4829.t1_1	BRAKERILHT00000013619_1
g4830.t1_1	BRAKERILHT00000012831_1
g4831.t1_1	BRAKERILHT00000013008_1
g4832.t1_1	BRAKERILHT00000013578_1
g4834.t1_1	BRAKERILHT00000012435_1
g4835.t1_1	BRAKERILHT00000012625_1
g4836.t2_1	BRAKERILHT00000012844_1
g4837.t1_1	BRAKERILHT00000012374_1
g4838.t1_1	BRAKERILHT00000013097_1
g4840.t1_1	BRAKERILHT00000013291_1
g4841.t1_1	BRAKERILHT00000012931_1
g4843.t1_1	BRAKERILHT00000014028_1
g4844.t1_1	BRAKERILHT00000012659_1
g4845.t1_1	BRAKERILHT00000012708_1
g4846.t1_1	BRAKERILHT00000012706_1
g4847.t1_1	BRAKERILHT00000013202_1
g4848.t1_1	BRAKERILHT00000013067_1
g4849.t2_1	BRAKERILHT00000012579_1
g4850.t1_1	BRAKERILHT00000012604_1
g4851.t1_1	BRAKERILHT00000013385_1
g4852.t1_1	BRAKERILHT00000012458_1
g4853.t1_1	BRAKERILHT00000013642_1
g4856.t1_1	BRAKERILHT00000012986_1
g4857.t1_1	BRAKERILHT00000013204_1
g4859.t1_1	BRAKERILHT00000013904_1
g4860.t1_1	BRAKERILHT00000013669_1
g4861.t1_1	BRAKERILHT00000012576_1
g4862.t1_1	BRAKERILHT00000013897_1
g4863.t1_1	BRAKERILHT00000013641_1
g4864.t1_1	BRAKERILHT00000013293_1
g4865.t1_1	BRAKERILHT00000013348_1
g4866.t1_1	BRAKERILHT00000013838_1
g4868.t1_1	BRAKERILHT00000012976_1
g5698.t1_1	BRAKERILHT00000009605_1
g5699.t1_1	BRAKERILHT00000009087_1
g5702.t1_1	BRAKERILHT00000009352_1
g5703.t1_1	BRAKERILHT00000009826_1
g5706.t1_1	BRAKERILHT00000009671_1
g5708.t1_1	BRAKERILHT00000009596_1
g5709.t1_1	BRAKERILHT00000010043_1
g5710.t1_1	BRAKERILHT00000008529_1
g5711.t1_1	BRAKERILHT00000009805_1
g5713.t1_1	BRAKERILHT00000008832_1
g5715.t1_1	BRAKERILHT00000010212_1
g5716.t1_1	BRAKERILHT00000010096_1
g5717.t1_1	BRAKERILHT00000008696_1
g5718.t1_1	BRAKERILHT00000009759_1
g5719.t1_1	BRAKERILHT00000009339_1
g5720.t1_1	BRAKERILHT00000009527_1
g5721.t1_1	BRAKERILHT00000008941_1
g5723.t1_1	BRAKERILHT00000010225_1
g5724.t1_1	BRAKERILHT00000010062_1
g5728.t1_1	BRAKERILHT00000010068_1
g5729.t1_1	BRAKERILHT00000008523_1
g5730.t1_1	BRAKERILHT00000009508_1
g5731.t1_1	BRAKERILHT00000009924_1
g5732.t1_1	BRAKERILHT00000008680_1
g5734.t1_1	BRAKERILHT00000009895_1
g5737.t1_1	BRAKERILHT00000009984_1
g5738.t1_1	BRAKERILHT00000009499_1
g5740.t1_1	BRAKERILHT00000009010_1
g5741.t1_1	BRAKERILHT00000009273_1
g5742.t1_1	BRAKERILHT00000008757_1
g5743.t1_1	BRAKERILHT00000009593_1
g5744.t1_1	BRAKERILHT00000009042_1
g5745.t2_1	BRAKERILHT00000009813_1
g5746.t1_1	BRAKERILHT00000010363_1
g5747.t1_1	BRAKERILHT00000009437_1
g5748.t1_1	BRAKERILHT00000009315_1
g5757.t1_1	BRAKERILHT00000009917_1
g5759.t1_1	BRAKERILHT00000010067_1
g5761.t2_1	BRAKERILHT00000010345_1
g5764.t1_1	BRAKERILHT00000010182_1
g5765.t1_1	BRAKERILHT00000009102_1
g5766.t1_1	BRAKERILHT00000008689_1
g5767.t1_1	BRAKERILHT00000010341_1
g5768.t1_1	BRAKERILHT00000009192_1
g5769.t1_1	BRAKERILHT00000008627_1
g5771.t2_1	BRAKERILHT00000009630_1
g5772.t1_1	BRAKERILHT00000009936_1
g5773.t1_1	BRAKERILHT00000009248_1
g5775.t1_1	BRAKERILHT00000009264_1
g5776.t1_1	BRAKERILHT00000010088_1
g5777.t1_1	BRAKERILHT00000010360_1
g5778.t1_1	BRAKERILHT00000009324_1
g5780.t2_1	BRAKERILHT00000008924_1
g5781.t2_1	BRAKERILHT00000010050_1
g5782.t1_1	BRAKERILHT00000008515_1
g5783.t1_1	BRAKERILHT00000009240_1
g5784.t1_1	BRAKERILHT00000008623_1
g5786.t1_1	BRAKERILHT00000009797_1
g5787.t2_1	BRAKERILHT00000009439_1
g5788.t1_1	BRAKERILHT00000009382_1
g5789.t1_1	BRAKERILHT00000009104_1
g5791.t1_1	BRAKERILHT00000008692_1
g5792.t1_1	BRAKERILHT00000010114_1
g5793.t2_1	BRAKERILHT00000009436_1
g5794.t2_1	BRAKERILHT00000009301_1
g5795.t1_1	BRAKERILHT00000008920_1
g5796.t1_1	BRAKERILHT00000008760_1
g5797.t1_1	BRAKERILHT00000010413_1
g5798.t1_1	BRAKERILHT00000010160_1
g5799.t1_1	BRAKERILHT00000009623_1
g5800.t1_1	BRAKERILHT00000009292_1
g5801.t1_1	BRAKERILHT00000008767_1
g5802.t1_1	BRAKERILHT00000010386_1
g5803.t1_1	BRAKERILHT00000010314_1
g5804.t1_1	BRAKERILHT00000009110_1
g5812.t1_1	BRAKERILHT00000009077_1
g5813.t1_1	BRAKERILHT00000010316_1
g5814.t1_1	BRAKERILHT00000009964_1
g5818.t1_1	BRAKERILHT00000008956_1
g5819.t1_1	BRAKERILHT00000009793_1
g5820.t1_1	BRAKERILHT00000002637_1
g5821.t2_1	BRAKERILHT00000008693_1
g5823.t1_1	BRAKERILHT00000009972_1
g5824.t2_1	BRAKERILHT00000008641_1
g5827.t1_1	BRAKERILHT00000010164_1
g5828.t1_1	BRAKERILHT00000010278_1
g5829.t1_1	BRAKERILHT00000017435_1
g5833.t1_1	BRAKERILHT00000009638_1
g5834.t1_1	BRAKERILHT00000009804_1
g5835.t1_1	BRAKERILHT00000009721_1
g5837.t1_1	BRAKERILHT00000008777_1
g5838.t1_1	BRAKERILHT00000008482_1
g5839.t1_1	BRAKERILHT00000009891_1
g5840.t1_1	BRAKERILHT00000009591_1
g5842.t1_1	BRAKERILHT00000009738_1
g5843.t1_1	BRAKERILHT00000009207_1
g5844.t2_1	BRAKERILHT00000008773_1
g5845.t1_1	BRAKERILHT00000008864_1
g5846.t1_1	BRAKERILHT00000010388_1
g5847.t1_1	BRAKERILHT00000009870_1
g5848.t1_1	BRAKERILHT00000008801_1
g5849.t1_1	BRAKERILHT00000009720_1
g5850.t1_1	BRAKERILHT00000009378_1
g5851.t1_1	BRAKERILHT00000008886_1
g5852.t1_1	BRAKERILHT00000009454_1
g5853.t4_1	BRAKERILHT00000009146_1
g5855.t1_1	BRAKERILHT00000008803_1
g5856.t1_1	BRAKERILHT00000010242_1
g5858.t1_1	BRAKERILHT00000009711_1
g5859.t1_1	BRAKERILHT00000009422_1
g5860.t2_1	BRAKERILHT00000008846_1
g5861.t1_1	BRAKERILHT00000008486_1
g5862.t1_1	BRAKERILHT00000009787_1
g5863.t1_1	BRAKERILHT00000008691_1
g5864.t1_1	BRAKERILHT00000009517_1
g5865.t1_1	BRAKERILHT00000009690_1
g5866.t1_1	BRAKERILHT00000009120_1
