g8.t1_1	CALCHIM00000023384_1
g6073.t1_1	CALCHIM00000057777_1
g6076.t1_1	CALCHIM00000002423_1
g6077.t2_1	CALCHIM00000002430_1
g6078.t1_1	CALCHIM00000002454_1
g6082.t1_1	CALCHIM00000002460_1
g6083.t2_1	CALCHIM00000002461_1
g6086.t1_1	CALCHIM00000002612_1
g6087.t1_1	CALCHIM00000002609_1
g6088.t2_1	CALCHIM00000002608_1
g6090.t1_1	CALCHIM00000054054_1
g6091.t1_1	CALCHIM00000054056_1
g6092.t1_1	CALCHIM00000054058_1
g6093.t1_1	CALCHIM00000054059_1
g6094.t1_1	CALCHIM00000054062_1
g6095.t1_1	CALCHIM00000054071_1
g6097.t1_1	CALCHIM00000054080_1
g6103.t1_1	CALCHIM00000054141_1
g6104.t1_1	CALCHIM00000054149_1
g6105.t1_1	CALCHIM00000054153_1
g6107.t2_1	CALCHIM00000054155_1
g6108.t1_1	CALCHIM00000054161_1
g6109.t2_1	CALCHIM00000054162_1
g6110.t2_1	CALCHIM00000054164_1
g6111.t1_1	CALCHIM00000054167_1
g6112.t1_1	CALCHIM00000054172_1
g6113.t1_1	CALCHIM00000054179_1
g6114.t1_1	CALCHIM00000054181_1
g6115.t1_1	CALCHIM00000054183_1
g6116.t1_1	CALCHIM00000054184_1
g6117.t1_1	CALCHIM00000054190_1
g6118.t1_1	CALCHIM00000054191_1
g6119.t1_1	CALCHIM00000054195_1
g6120.t1_1	CALCHIM00000054196_1
g6121.t1_1	CALCHIM00000054200_1
g6122.t1_1	CALCHIM00000054203_1
g6124.t1_1	CALCHIM00000055272_1
g6125.t1_1	CALCHIM00000055268_1
g6127.t2_1	CALCHIM00000054535_1
g6129.t1_1	CALCHIM00000054543_1
g6130.t1_1	CALCHIM00000054545_1
g6131.t1_1	CALCHIM00000054547_1
g6132.t1_1	CALCHIM00000054551_1
g6133.t1_1	CALCHIM00000054555_1
g6134.t1_1	CALCHIM00000054563_1
g6135.t1_1	CALCHIM00000054565_1
g6136.t1_1	CALCHIM00000054567_1
g6137.t2_1	CALCHIM00000054570_1
g6138.t2_1	CALCHIM00000054571_1
g6139.t1_1	CALCHIM00000054581_1
g6140.t1_1	CALCHIM00000057239_1
g6142.t1_1	CALCHIM00000054584_1
g6143.t1_1	CALCHIM00000054586_1
g6144.t1_1	CALCHIM00000054746_1
g6145.t1_1	CALCHIM00000054743_1
g6147.t1_1	CALCHIM00000054728_1
g6148.t1_1	CALCHIM00000054722_1
g6149.t1_1	CALCHIM00000054721_1
g6150.t1_1	CALCHIM00000054714_1
g6152.t1_1	CALCHIM00000054713_1
g6153.t1_1	CALCHIM00000054708_1
g6154.t1_1	CALCHIM00000004846_1
g6155.t2_1	CALCHIM00000004847_1
g6156.t1_1	CALCHIM00000004852_1
g6157.t1_1	CALCHIM00000004855_1
g6158.t1_1	CALCHIM00000004856_1
g6159.t1_1	CALCHIM00000004857_1
g6160.t2_1	CALCHIM00000004861_1
g6161.t1_1	CALCHIM00000004865_1
g6162.t1_1	CALCHIM00000004868_1
g6163.t1_1	CALCHIM00000004877_1
g6164.t1_1	CALCHIM00000004880_1
g6165.t1_1	CALCHIM00000004884_1
g6166.t1_1	CALCHIM00000004886_1
g6167.t1_1	CALCHIM00000004887_1
g6168.t1_1	CALCHIM00000004889_1
g6169.t1_1	CALCHIM00000004892_1
g6170.t1_1	CALCHIM00000004893_1
g6171.t1_1	CALCHIM00000004894_1
g6176.t1_1	CALCHIM00000038970_1
g6178.t2_1	CALCHIM00000050357_1
g6179.t1_1	CALCHIM00000050354_1
g6184.t2_1	CALCHIM00000050353_1
g6185.t1_1	CALCHIM00000050352_1
g6186.t1_1	CALCHIM00000050351_1
g6189.t1_1	CALCHIM00000050346_1
g6190.t1_1	CALCHIM00000050343_1
g6191.t3_1	CALCHIM00000050316_1
g6194.t1_1	CALCHIM00000050306_1
g6195.t1_1	CALCHIM00000050304_1
g6196.t1_1	CALCHIM00000050298_1
g6197.t1_1	CALCHIM00000050292_1
g6198.t1_1	CALCHIM00000050289_1
g6200.t1_1	CALCHIM00000019136_1
g6201.t1_1	CALCHIM00000019133_1
g6202.t1_1	CALCHIM00000019130_1
g6203.t1_1	CALCHIM00000019128_1
g6204.t1_1	CALCHIM00000019127_1
g6205.t1_1	CALCHIM00000019121_1
g6206.t1_1	CALCHIM00000019118_1
g6207.t1_1	CALCHIM00000019117_1
g6209.t1_1	CALCHIM00000010932_1
g6211.t1_1	CALCHIM00000019111_1
g6212.t1_1	CALCHIM00000019100_1
g6213.t1_1	CALCHIM00000019096_1
g6214.t4_1	CALCHIM00000019084_1
g6215.t1_1	CALCHIM00000019082_1
g6216.t1_1	CALCHIM00000019080_1
g6217.t3_1	CALCHIM00000019077_1
g6220.t1_1	CALCHIM00000019070_1
g6223.t1_1	CALCHIM00000019069_1
g6224.t1_1	CALCHIM00000019064_1
g6225.t1_1	CALCHIM00000019062_1
g6227.t1_1	CALCHIM00000019060_1
g6228.t2_1	CALCHIM00000019059_1
g6229.t1_1	CALCHIM00000019058_1
g6231.t1_1	CALCHIM00000019057_1
g6232.t1_1	CALCHIM00000019056_1
g6233.t1_1	CALCHIM00000019055_1
g6235.t1_1	CALCHIM00000019054_1
g6236.t1_1	CALCHIM00000019053_1
g6237.t1_1	CALCHIM00000019048_1
g6238.t1_1	CALCHIM00000019046_1
g6239.t1_1	CALCHIM00000013461_1
g6240.t1_1	CALCHIM00000019040_1
g6241.t1_1	CALCHIM00000019038_1
g6242.t1_1	CALCHIM00000019035_1
g6243.t1_1	CALCHIM00000019032_1
g6244.t1_1	CALCHIM00000019028_1
g6245.t1_1	CALCHIM00000019026_1
g6246.t1_1	CALCHIM00000019025_1
g6247.t2_1	CALCHIM00000003667_1
g6249.t1_1	CALCHIM00000003665_1
g6250.t1_1	CALCHIM00000003659_1
g6251.t1_1	CALCHIM00000003663_1
g6252.t1_1	CALCHIM00000003658_1
g6253.t1_1	CALCHIM00000003657_1
g6254.t1_1	CALCHIM00000003655_1
g6255.t1_1	CALCHIM00000003653_1
g6256.t1_1	CALCHIM00000003650_1
g6257.t2_1	CALCHIM00000003649_1
g6258.t1_1	CALCHIM00000003648_1
g6259.t1_1	CALCHIM00000003646_1
g6260.t1_1	CALCHIM00000003643_1
g6261.t1_1	CALCHIM00000003641_1
g6262.t2_1	CALCHIM00000003634_1
g6264.t1_1	CALCHIM00000037976_1
g6265.t1_1	CALCHIM00000003633_1
g6266.t2_1	CALCHIM00000003629_1
g6267.t1_1	CALCHIM00000003626_1
g6268.t1_1	CALCHIM00000003625_1
g6269.t2_1	CALCHIM00000003624_1
g6271.t2_1	CALCHIM00000003614_1
g6274.t1_1	CALCHIM00000003612_1
g6275.t1_1	CALCHIM00000048770_1
g6276.t1_1	CALCHIM00000048768_1
g6280.t1_1	CALCHIM00000048767_1
g6281.t1_1	CALCHIM00000048766_1
g6283.t1_1	CALCHIM00000048765_1
g6285.t1_1	CALCHIM00000048764_1
g6291.t1_1	CALCHIM00000048763_1
g6292.t1_1	CALCHIM00000048760_1
g6293.t2_1	CALCHIM00000048759_1
g6294.t2_1	CALCHIM00000048757_1
g6295.t2_1	CALCHIM00000048754_1
g6296.t1_1	CALCHIM00000048752_1
g6297.t1_1	CALCHIM00000048750_1
g6298.t1_1	CALCHIM00000048747_1
g6299.t1_1	CALCHIM00000048745_1
g6300.t1_1	CALCHIM00000048742_1
g6301.t2_1	CALCHIM00000048736_1
g6302.t1_1	CALCHIM00000048733_1
g6303.t1_1	CALCHIM00000048730_1
g6304.t2_1	CALCHIM00000048725_1
g6305.t1_1	CALCHIM00000048722_1
g6306.t1_1	CALCHIM00000048721_1
g6307.t1_1	CALCHIM00000048718_1
g6308.t2_1	CALCHIM00000048714_1
g6310.t1_1	CALCHIM00000048705_1
g6311.t1_1	CALCHIM00000048703_1
g6312.t1_1	CALCHIM00000048702_1
g6313.t1_1	CALCHIM00000048699_1
g6314.t1_1	CALCHIM00000048697_1
g6315.t2_1	CALCHIM00000048695_1
g6316.t1_1	CALCHIM00000048687_1
g6318.t1_1	CALCHIM00000048673_1
g6322.t1_1	CALCHIM00000048641_1
g6323.t1_1	CALCHIM00000048640_1
g6325.t2_1	CALCHIM00000048635_1
g6326.t1_1	CALCHIM00000048633_1
g6327.t1_1	CALCHIM00000048626_1
g6328.t1_1	CALCHIM00000048625_1
g6330.t1_1	CALCHIM00000048624_1
g6331.t1_1	CALCHIM00000048620_1
g6332.t1_1	CALCHIM00000048612_1
g6333.t1_1	CALCHIM00000048609_1
g6335.t1_1	CALCHIM00000048587_1
g6336.t1_1	CALCHIM00000048586_1
g6337.t1_1	CALCHIM00000048584_1
g6338.t1_1	CALCHIM00000048580_1
g6339.t2_1	CALCHIM00000048582_1
g6340.t1_1	CALCHIM00000048575_1
g6341.t1_1	CALCHIM00000048573_1
g6343.t2_1	CALCHIM00000048570_1
g6344.t1_1	CALCHIM00000048568_1
g6345.t1_1	CALCHIM00000048566_1
g6346.t1_1	CALCHIM00000048565_1
g6347.t1_1	CALCHIM00000048562_1
g6350.t1_1	CALCHIM00000057786_1
g6353.t1_1	CALCHIM00000048534_1
g6354.t1_1	CALCHIM00000048532_1
g6356.t1_1	CALCHIM00000048526_1
g6357.t1_1	CALCHIM00000048520_1
g6360.t1_1	CALCHIM00000048515_1
g6363.t1_1	CALCHIM00000048480_1
g6364.t3_1	CALCHIM00000048479_1
g6365.t1_1	CALCHIM00000048474_1
g6368.t1_1	CALCHIM00000050370_1
g6369.t1_1	CALCHIM00000050371_1
g6370.t1_1	CALCHIM00000050374_1
g6371.t2_1	CALCHIM00000050377_1
g6372.t1_1	CALCHIM00000050378_1
g6373.t1_1	CALCHIM00000050381_1
g6374.t3_1	CALCHIM00000050390_1
g6375.t1_1	CALCHIM00000050391_1
g6378.t1_1	CALCHIM00000050392_1
g6379.t1_1	CALCHIM00000050399_1
g6380.t1_1	CALCHIM00000050403_1
g6382.t1_1	CALCHIM00000050405_1
g6383.t1_1	CALCHIM00000050409_1
g6384.t8_1	CALCHIM00000050426_1
g6386.t1_1	CALCHIM00000050433_1
g6387.t1_1	CALCHIM00000050436_1
g6388.t1_1	CALCHIM00000050440_1
g6389.t1_1	CALCHIM00000050441_1
g6390.t5_1	CALCHIM00000050442_1
g6391.t1_1	CALCHIM00000005987_1
g6393.t1_1	CALCHIM00000050454_1
g6394.t2_1	CALCHIM00000050457_1
g6395.t1_1	CALCHIM00000040193_1
g6396.t1_1	CALCHIM00000033200_1
g6397.t1_1	CALCHIM00000045840_1
g6398.t1_1	CALCHIM00000033195_1
g6399.t1_1	CALCHIM00000033193_1
g6400.t1_1	CALCHIM00000033188_1
g6401.t2_1	CALCHIM00000033187_1
g6402.t1_1	CALCHIM00000033184_1
g6403.t1_1	CALCHIM00000033183_1
g6404.t1_1	CALCHIM00000033181_1
g6405.t1_1	CALCHIM00000002080_1
g6406.t1_1	CALCHIM00000033179_1
g6408.t1_1	CALCHIM00000033176_1
g6409.t2_1	CALCHIM00000033172_1
g6413.t1_1	CALCHIM00000033163_1
g6414.t2_1	CALCHIM00000033160_1
g6416.t1_1	CALCHIM00000041666_1
g6417.t1_1	CALCHIM00000041664_1
g6418.t2_1	CALCHIM00000041663_1
g6420.t1_1	CALCHIM00000045441_1
g6421.t1_1	CALCHIM00000045439_1
g6422.t1_1	CALCHIM00000045437_1
g6423.t1_1	CALCHIM00000045436_1
g6424.t1_1	CALCHIM00000045435_1
g6425.t1_1	CALCHIM00000045432_1
g6426.t1_1	CALCHIM00000045430_1
g6427.t1_1	CALCHIM00000045429_1
g6428.t1_1	CALCHIM00000026103_1
g6429.t1_1	CALCHIM00000026102_1
g6430.t1_1	CALCHIM00000035464_1
g6433.t1_1	CALCHIM00000033419_1
g6435.t1_1	CALCHIM00000026081_1
g6436.t1_1	CALCHIM00000011168_1
g6437.t1_1	CALCHIM00000000438_1
g6438.t1_1	CALCHIM00000026071_1
g6440.t1_1	CALCHIM00000025519_1
g6441.t1_1	CALCHIM00000036558_1
g6442.t1_1	CALCHIM00000025529_1
g6443.t1_1	CALCHIM00000040810_1
g6444.t1_1	CALCHIM00000049999_1
g6446.t1_1	CALCHIM00000001061_1
g6447.t1_1	CALCHIM00000056228_1
g6448.t1_1	CALCHIM00000056225_1
g6449.t1_1	CALCHIM00000056223_1
g6450.t1_1	CALCHIM00000013313_1
g6451.t1_1	CALCHIM00000037242_1
g6452.t1_1	CALCHIM00000058105_1
g6453.t3_1	CALCHIM00000037245_1
g6454.t1_1	CALCHIM00000058119_1
g6455.t1_1	CALCHIM00000016844_1
g6457.t1_1	CALCHIM00000058127_1
g6458.t1_1	CALCHIM00000058128_1
g6459.t1_1	CALCHIM00000016886_1
g6460.t1_1	CALCHIM00000016889_1
g6461.t1_1	CALCHIM00000058132_1
g6463.t1_1	CALCHIM00000016899_1
g6464.t1_1	CALCHIM00000016901_1
g6465.t2_1	CALCHIM00000058141_1
g6467.t1_1	CALCHIM00000045959_1
g6469.t1_1	CALCHIM00000011162_1
g6470.t1_1	CALCHIM00000045972_1
g6471.t1_1	CALCHIM00000045974_1
g6472.t1_1	CALCHIM00000045976_1
g6473.t1_1	CALCHIM00000045985_1
g6474.t1_1	CALCHIM00000045989_1
g6475.t1_1	CALCHIM00000045991_1
g6476.t1_1	CALCHIM00000045997_1
g6477.t1_1	CALCHIM00000046008_1
g6478.t1_1	CALCHIM00000046011_1
g6479.t1_1	CALCHIM00000046012_1
g6480.t1_1	CALCHIM00000046013_1
g6481.t1_1	CALCHIM00000046014_1
g6482.t1_1	CALCHIM00000046016_1
g6484.t1_1	CALCHIM00000046022_1
g6486.t2_1	CALCHIM00000039075_1
g6487.t1_1	CALCHIM00000056390_1
g6488.t1_1	CALCHIM00000056386_1
g6489.t1_1	CALCHIM00000056379_1
g6490.t1_1	CALCHIM00000027407_1
g6491.t2_1	CALCHIM00000056376_1
g6502.t1_1	CALCHIM00000050045_1
g6503.t2_1	CALCHIM00000025854_1
g6506.t1_1	CALCHIM00000025861_1
g6509.t1_1	CALCHIM00000025875_1
g6510.t1_1	CALCHIM00000025877_1
g6514.t1_1	CALCHIM00000047210_1
g6515.t1_1	CALCHIM00000025907_1
g6517.t1_1	CALCHIM00000020446_1
g6521.t1_1	CALCHIM00000020425_1
g6524.t1_1	CALCHIM00000020422_1
g6526.t2_1	CALCHIM00000020417_1
g6529.t1_1	CALCHIM00000020410_1
g6534.t1_1	CALCHIM00000020390_1
g6537.t1_1	CALCHIM00000020371_1
g6542.t2_1	CALCHIM00000020345_1
g6543.t1_1	CALCHIM00000020332_1
g6551.t1_1	CALCHIM00000020291_1
g6557.t1_1	CALCHIM00000011097_1
g6561.t1_1	CALCHIM00000029581_1
g6562.t5_1	CALCHIM00000029595_1
g6565.t1_1	CALCHIM00000001884_1
g6566.t1_1	CALCHIM00000001889_1
g6568.t1_1	CALCHIM00000001896_1
g6583.t1_1	CALCHIM00000031924_1
g6585.t1_1	CALCHIM00000031929_1
g6588.t1_1	CALCHIM00000020318_1
g6589.t1_1	CALCHIM00000031935_1
g6592.t1_1	CALCHIM00000031942_1
g6593.t2_1	CALCHIM00000031944_1
g6595.t1_1	CALCHIM00000031974_1
g6597.t3_1	CALCHIM00000031977_1
g6598.t1_1	CALCHIM00000031996_1
g6601.t1_1	CALCHIM00000032000_1
g6604.t1_1	CALCHIM00000032005_1
g6608.t1_1	CALCHIM00000050052_1
g6610.t1_1	CALCHIM00000025857_1
g6612.t1_1	CALCHIM00000025868_1
g6613.t1_1	CALCHIM00000025873_1
g6617.t1_1	CALCHIM00000025897_1
g6619.t1_1	CALCHIM00000025910_1
g6621.t1_1	CALCHIM00000020444_1
g6622.t1_1	CALCHIM00000020440_1
g6623.t1_1	CALCHIM00000035775_1
g6624.t1_1	CALCHIM00000020432_1
g6629.t1_1	CALCHIM00000020420_1
g6631.t1_1	CALCHIM00000020413_1
g6632.t1_1	CALCHIM00000020411_1
g6634.t1_1	CALCHIM00000020394_1
g6635.t2_1	CALCHIM00000020391_1
g6637.t4_1	CALCHIM00000020389_1
g6638.t1_1	CALCHIM00000020378_1
g6641.t1_1	CALCHIM00000020352_1
g6642.t1_1	CALCHIM00000020346_1
g6645.t1_1	CALCHIM00000031242_1
g6648.t1_1	CALCHIM00000020326_1
g6649.t1_1	CALCHIM00000020322_1
g6650.t1_1	CALCHIM00000020307_1
g6651.t1_1	CALCHIM00000020301_1
g6652.t2_1	CALCHIM00000020300_1
g6653.t1_1	CALCHIM00000020297_1
g6655.t1_1	CALCHIM00000020292_1
g6656.t1_1	CALCHIM00000020290_1
g6657.t2_1	CALCHIM00000020288_1
g6658.t1_1	CALCHIM00000020287_1
g6659.t1_1	CALCHIM00000011082_1
g6661.t1_1	CALCHIM00000011106_1
g6666.t1_1	CALCHIM00000001875_1
g6669.t1_1	CALCHIM00000042771_1
g6671.t1_1	CALCHIM00000001917_1
g6673.t1_1	CALCHIM00000006064_1
g6674.t1_1	CALCHIM00000001931_1
g6678.t1_1	CALCHIM00000052119_1
g6679.t1_1	CALCHIM00000052123_1
g6681.t1_1	CALCHIM00000032615_1
g6682.t2_1	CALCHIM00000024430_1
g6683.t1_1	CALCHIM00000020872_1
g6684.t1_1	CALCHIM00000020871_1
g6685.t1_1	CALCHIM00000009329_1
g6686.t1_1	CALCHIM00000050359_1
g6687.t1_1	CALCHIM00000050360_1
g6688.t1_1	CALCHIM00000050362_1
g6690.t1_1	CALCHIM00000050369_1
g6691.t1_1	CALCHIM00000050368_1
g6692.t2_1	CALCHIM00000031926_1
g6695.t1_1	CALCHIM00000031927_1
g6697.t1_1	CALCHIM00000031933_1
g6700.t1_1	CALCHIM00000031938_1
g6701.t1_1	CALCHIM00000031940_1
g6704.t1_1	CALCHIM00000031947_1
g6705.t1_1	CALCHIM00000031952_1
g6706.t1_1	CALCHIM00000031969_1
g6711.t2_1	CALCHIM00000031998_1
g6712.t1_1	CALCHIM00000031999_1
g6715.t1_1	CALCHIM00000032007_1
g6716.t1_1	CALCHIM00000032008_1
g6717.t1_1	CALCHIM00000032010_1
g6718.t1_1	CALCHIM00000032011_1
g6719.t1_1	CALCHIM00000032013_1
g6720.t1_1	CALCHIM00000032018_1
g6721.t1_1	CALCHIM00000032019_1
g6722.t1_1	CALCHIM00000032021_1
g6724.t1_1	CALCHIM00000032025_1
g6725.t1_1	CALCHIM00000032023_1
g6726.t1_1	CALCHIM00000032031_1
g6730.t1_1	CALCHIM00000032032_1
g6732.t2_1	CALCHIM00000055245_1
g6734.t1_1	CALCHIM00000046714_1
g6735.t2_1	CALCHIM00000046715_1
g6736.t1_1	CALCHIM00000046716_1
g6737.t2_1	CALCHIM00000046720_1
g6738.t1_1	CALCHIM00000046730_1
g6739.t1_1	CALCHIM00000046731_1
g6740.t1_1	CALCHIM00000046733_1
g6741.t1_1	CALCHIM00000046734_1
g6742.t1_1	CALCHIM00000046735_1
g6743.t1_1	CALCHIM00000046736_1
g6744.t1_1	CALCHIM00000046740_1
g6745.t1_1	CALCHIM00000046742_1
g6746.t1_1	CALCHIM00000046743_1
g6747.t2_1	CALCHIM00000046749_1
g6748.t1_1	CALCHIM00000046752_1
g6749.t1_1	CALCHIM00000046753_1
g6750.t1_1	CALCHIM00000046754_1
g6751.t1_1	CALCHIM00000046755_1
g6752.t1_1	CALCHIM00000046761_1
g6753.t1_1	CALCHIM00000046764_1
g6754.t1_1	CALCHIM00000046765_1
g6756.t1_1	CALCHIM00000046767_1
g6758.t1_1	CALCHIM00000046771_1
g6759.t1_1	CALCHIM00000046772_1
g6760.t1_1	CALCHIM00000046773_1
g6761.t1_1	CALCHIM00000046774_1
g6762.t1_1	CALCHIM00000046776_1
g6763.t1_1	CALCHIM00000046777_1
g6764.t1_1	CALCHIM00000046778_1
g6765.t1_1	CALCHIM00000046779_1
g6766.t1_1	CALCHIM00000046780_1
g6767.t1_1	CALCHIM00000046785_1
g6768.t1_1	CALCHIM00000046789_1
g6770.t1_1	CALCHIM00000046799_1
g6771.t2_1	CALCHIM00000046808_1
g6772.t1_1	CALCHIM00000046810_1
g6773.t1_1	CALCHIM00000046812_1
g6774.t1_1	CALCHIM00000046815_1
g6775.t1_1	CALCHIM00000048340_1
g6776.t1_1	CALCHIM00000048339_1
g6777.t1_1	CALCHIM00000048337_1
g6778.t1_1	CALCHIM00000048338_1
g6779.t1_1	CALCHIM00000048333_1
g6780.t1_1	CALCHIM00000048329_1
g6781.t1_1	CALCHIM00000048321_1
g6782.t1_1	CALCHIM00000048320_1
g6783.t1_1	CALCHIM00000048318_1
g6784.t1_1	CALCHIM00000048317_1
g6785.t1_1	CALCHIM00000048311_1
g6786.t1_1	CALCHIM00000048307_1
g6787.t1_1	CALCHIM00000048306_1
g6788.t1_1	CALCHIM00000048305_1
g6789.t1_1	CALCHIM00000048304_1
g6790.t3_1	CALCHIM00000048299_1
g6791.t1_1	CALCHIM00000048297_1
g6792.t1_1	CALCHIM00000048294_1
g6794.t1_1	CALCHIM00000048290_1
g6795.t2_1	CALCHIM00000048287_1
g6796.t1_1	CALCHIM00000048286_1
g6797.t1_1	CALCHIM00000048284_1
g6798.t1_1	CALCHIM00000048281_1
g6799.t1_1	CALCHIM00000048274_1
g6800.t1_1	CALCHIM00000048273_1
g6801.t1_1	CALCHIM00000048272_1
g6803.t1_1	CALCHIM00000048271_1
g6804.t1_1	CALCHIM00000048257_1
g6805.t2_1	CALCHIM00000048255_1
g6806.t1_1	CALCHIM00000048250_1
g6807.t1_1	CALCHIM00000048247_1
g6808.t1_1	CALCHIM00000048246_1
g6809.t1_1	CALCHIM00000053024_1
g6811.t1_1	CALCHIM00000053018_1
g6812.t1_1	CALCHIM00000053017_1
g6813.t1_1	CALCHIM00000053006_1
g6814.t1_1	CALCHIM00000053013_1
g6815.t1_1	CALCHIM00000053004_1
g6817.t1_1	CALCHIM00000052999_1
g6818.t1_1	CALCHIM00000052998_1
g6819.t2_1	CALCHIM00000052996_1
g6820.t1_1	CALCHIM00000052994_1
g6821.t2_1	CALCHIM00000052993_1
g6824.t3_1	CALCHIM00000052992_1
g6826.t2_1	CALCHIM00000052984_1
g6827.t2_1	CALCHIM00000022184_1
g6829.t1_1	CALCHIM00000022187_1
g6830.t1_1	CALCHIM00000022188_1
g6831.t1_1	CALCHIM00000022190_1
g6832.t1_1	CALCHIM00000025307_1
g6834.t1_1	CALCHIM00000002881_1
g6835.t2_1	CALCHIM00000048402_1
g6836.t1_1	CALCHIM00000048405_1
g6837.t1_1	CALCHIM00000048407_1
g6838.t1_1	CALCHIM00000048408_1
g6839.t1_1	CALCHIM00000048409_1
g6840.t1_1	CALCHIM00000048412_1
g6841.t1_1	CALCHIM00000048413_1
g6842.t1_1	CALCHIM00000048418_1
g6844.t1_1	CALCHIM00000048436_1
g6845.t1_1	CALCHIM00000048437_1
g6846.t1_1	CALCHIM00000048442_1
g6847.t1_1	CALCHIM00000048444_1
g6850.t1_1	CALCHIM00000048449_1
g6852.t1_1	CALCHIM00000048457_1
g6853.t1_1	CALCHIM00000048459_1
g6854.t2_1	CALCHIM00000048460_1
g6855.t1_1	CALCHIM00000048465_1
g6856.t1_1	CALCHIM00000048468_1
g6857.t1_1	CALCHIM00000031923_1
g6858.t1_1	CALCHIM00000031920_1
g6861.t1_1	CALCHIM00000031918_1
g6862.t1_1	CALCHIM00000031914_1
g6864.t1_1	CALCHIM00000031907_1
g6865.t1_1	CALCHIM00000031905_1
g6868.t1_1	CALCHIM00000031902_1
g6869.t1_1	CALCHIM00000031900_1
g6870.t2_1	CALCHIM00000031897_1
g6872.t1_1	CALCHIM00000031892_1
g6873.t1_1	CALCHIM00000031891_1
g6874.t1_1	CALCHIM00000031875_1
g6875.t1_1	CALCHIM00000031874_1
g6876.t1_1	CALCHIM00000031870_1
g6877.t1_1	CALCHIM00000031868_1
g6878.t1_1	CALCHIM00000031865_1
g6879.t1_1	CALCHIM00000031860_1
g6880.t1_1	CALCHIM00000031859_1
g6881.t1_1	CALCHIM00000031858_1
g6882.t1_1	CALCHIM00000031856_1
g6883.t1_1	CALCHIM00000031855_1
g6884.t2_1	CALCHIM00000031854_1
g6885.t1_1	CALCHIM00000031853_1
g6886.t1_1	CALCHIM00000031835_1
g6887.t1_1	CALCHIM00000031834_1
g6888.t1_1	CALCHIM00000031831_1
g6890.t1_1	CALCHIM00000031826_1
g6892.t1_1	CALCHIM00000031824_1
g6893.t1_1	CALCHIM00000031819_1
g6897.t1_1	CALCHIM00000031814_1
g6898.t1_1	CALCHIM00000031810_1
g6900.t1_1	CALCHIM00000031806_1
g6901.t1_1	CALCHIM00000014015_1
g6902.t1_1	CALCHIM00000014014_1
g6903.t1_1	CALCHIM00000014007_1
g6904.t1_1	CALCHIM00000014002_1
g6905.t1_1	CALCHIM00000013998_1
g6906.t2_1	CALCHIM00000013984_1
g6907.t2_1	CALCHIM00000013982_1
g6908.t1_1	CALCHIM00000013981_1
g6909.t1_1	CALCHIM00000013979_1
g6910.t1_1	CALCHIM00000013973_1
g6911.t1_1	CALCHIM00000013967_1
g6913.t1_1	CALCHIM00000013964_1
g6915.t1_1	CALCHIM00000013962_1
g6916.t1_1	CALCHIM00000013959_1
g6917.t1_1	CALCHIM00000013961_1
g6918.t1_1	CALCHIM00000013958_1
g6919.t1_1	CALCHIM00000013956_1
g6920.t1_1	CALCHIM00000013955_1
g6921.t1_1	CALCHIM00000013954_1
g6922.t1_1	CALCHIM00000048971_1
g6923.t1_1	CALCHIM00000013953_1
g6924.t1_1	CALCHIM00000013952_1
g6925.t1_1	CALCHIM00000013950_1
g6926.t1_1	CALCHIM00000013949_1
g6927.t1_1	CALCHIM00000013948_1
g6932.t1_1	CALCHIM00000013934_1
g6933.t1_1	CALCHIM00000013931_1
g6934.t1_1	CALCHIM00000013926_1
g6935.t1_1	CALCHIM00000013923_1
g6936.t1_1	CALCHIM00000013922_1
g6938.t1_1	CALCHIM00000026999_1
g6939.t1_1	CALCHIM00000027004_1
g6942.t1_1	CALCHIM00000027006_1
g6943.t1_1	CALCHIM00000027007_1
g6944.t1_1	CALCHIM00000027008_1
g6946.t1_1	CALCHIM00000027009_1
g6947.t1_1	CALCHIM00000027010_1
g6948.t2_1	CALCHIM00000027012_1
g6949.t1_1	CALCHIM00000027015_1
g6950.t1_1	CALCHIM00000027016_1
g6951.t1_1	CALCHIM00000027019_1
g6952.t1_1	CALCHIM00000009224_1
g6953.t2_1	CALCHIM00000059093_1
g6956.t1_1	CALCHIM00000027025_1
g6957.t1_1	CALCHIM00000027027_1
g6958.t2_1	CALCHIM00000027029_1
g6959.t1_1	CALCHIM00000027040_1
g6962.t1_1	CALCHIM00000027054_1
g6963.t1_1	CALCHIM00000027062_1
g6964.t1_1	CALCHIM00000027063_1
g6965.t1_1	CALCHIM00000027067_1
g6966.t1_1	CALCHIM00000002931_1
g6969.t1_1	CALCHIM00000002929_1
g6970.t1_1	CALCHIM00000002825_1
g6971.t1_1	CALCHIM00000002927_1
g6972.t1_1	CALCHIM00000002924_1
g6973.t1_1	CALCHIM00000002916_1
g6974.t1_1	CALCHIM00000002914_1
g6975.t1_1	CALCHIM00000002913_1
g6976.t1_1	CALCHIM00000002911_1
g6977.t1_1	CALCHIM00000002907_1
g6978.t1_1	CALCHIM00000002903_1
g6979.t1_1	CALCHIM00000002902_1
g6980.t1_1	CALCHIM00000002900_1
g6981.t1_1	CALCHIM00000002897_1
g6982.t1_1	CALCHIM00000002895_1
g6983.t1_1	CALCHIM00000002894_1
g6984.t1_1	CALCHIM00000002888_1
g6987.t1_1	CALCHIM00000002886_1
g6989.t1_1	CALCHIM00000002885_1
g6990.t1_1	CALCHIM00000002884_1
g6991.t1_1	CALCHIM00000002883_1
