g6.t1_1	rna-XM_008203325.3_1
g6270.t1_1	rna-XM_008194789.3_1
g6271.t2_1	rna-XM_008201936.3_1
g6272.t1_1	rna-XM_965123.4_1
g6274.t1_1	rna-XM_064356661.1_1
g6275.t1_1	rna-XM_064356657.1_1
g6276.t1_1	rna-XM_064356664.1_1
g6280.t1_1	rna-XM_008194771.3_1
g6282.t1_1	rna-XM_008194784.3_1
g6283.t1_1	rna-XM_969240.3_1
g6290.t1_1	rna-XM_064356663.1_1
g6291.t1_1	rna-XM_064356622.1_1
g6294.t2_1	rna-XM_015984758.2_1
g6295.t2_1	rna-XM_008200561.3_1
g6296.t1_1	rna-XM_015984977.2_1
g6297.t1_1	rna-NM_001171063.1_1
g6298.t1_1	rna-XM_962699.5_1
g6299.t1_1	rna-XM_962942.5_1
g6300.t1_1	rna-XM_969733.5_1
g6301.t2_1	rna-XM_001815323.4_1
g6302.t1_1	rna-XM_008194312.3_1
g6303.t1_1	rna-XM_961911.4_1
g6304.t2_1	rna-XM_064358212.1_1
g6305.t1_1	rna-XM_966766.4_1
g6306.t1_1	rna-XM_964955.4_1
g6307.t1_1	rna-XM_970049.5_1
g6308.t2_1	rna-XM_064356581.1_1
g6309.t1_1	rna-XM_964537.4_1
g6310.t1_1	rna-XM_008195515.3_1
g6311.t1_1	rna-XM_962402.4_1
g6312.t1_1	rna-XM_015978059.2_1
g6314.t1_1	rna-XM_962557.5_1
g6315.t2_1	rna-XM_064359930.1_1
g6316.t1_1	rna-XM_015978035.2_1
g6319.t1_1	rna-XM_008194345.3_1
g6322.t1_1	rna-XM_967691.4_1
g6325.t2_1	rna-XM_015984024.2_1
g6326.t1_1	rna-XM_064357732.1_1
g6327.t1_1	rna-XM_064357880.1_1
g6328.t1_1	rna-XM_964590.4_1
g6330.t1_1	rna-XM_961803.4_1
g6331.t1_1	rna-XM_964660.5_1
g6332.t1_1	rna-NM_001145906.1_1
g6333.t1_1	rna-XM_015981062.1_1
g6335.t1_1	rna-XM_015981027.2_1
g6336.t1_1	rna-XM_008196693.3_1
g6337.t1_1	rna-XM_963441.4_1
g6338.t1_1	rna-XM_008196709.3_1
g6339.t2_1	rna-XM_008196708.3_1
g6340.t1_1	rna-XM_064358290.1_1
g6341.t1_1	rna-XM_962143.4_1
g6343.t2_1	rna-XM_008200522.3_1
g6344.t1_1	rna-XM_008202403.3_1
g6345.t1_1	rna-XM_962304.4_1
g6346.t1_1	rna-XM_969648.4_1
g6347.t1_1	rna-XM_064357843.1_1
g6353.t1_1	rna-XM_008201663.3_1
g6354.t1_1	rna-XM_008201662.3_1
g6356.t1_1	rna-XM_015984036.2_1
g6363.t1_1	rna-XM_966026.4_1
g6364.t3_1	rna-XM_064358042.1_1
g6365.t1_1	rna-XM_964147.4_1
g6370.t1_1	rna-XM_008203385.3_1
g6371.t2_1	rna-XM_008195141.3_1
g6372.t1_1	rna-XM_962244.5_1
g6373.t1_1	rna-XM_962420.5_1
g6374.t3_1	rna-XM_008202259.3_1
g6375.t1_1	rna-XM_001812000.4_1
g6377.t1_1	rna-XM_008197919.3_1
g6378.t1_1	rna-XM_064358186.1_1
g6379.t1_1	rna-XM_965583.4_1
g6380.t1_1	rna-XM_965515.4_1
g6382.t1_1	rna-XM_015982261.2_1
g6383.t1_1	rna-XM_008197908.2_1
g6384.t8_1	rna-XM_008197898.3_1
g6386.t1_1	rna-XM_965366.4_1
g6387.t1_1	rna-XM_965650.5_1
g6388.t1_1	rna-XM_966280.4_1
g6389.t1_1	rna-XM_001810303.4_1
g6390.t5_1	rna-XM_064358575.1_1
g6392.t1_1	rna-XM_966309.4_1
g6393.t1_1	rna-XM_015980821.2_1
g6394.t2_1	rna-XM_008192082.3_1
g6395.t1_1	rna-XM_008192106.3_1
g6396.t1_1	rna-XM_015980834.2_1
g6397.t1_1	rna-XM_008192372.3_1
g6399.t1_1	rna-XM_008192149.2_1
g6400.t1_1	rna-XM_963376.5_1
g6401.t2_1	rna-XM_008195953.3_1
g6403.t1_1	rna-XM_064358228.1_1
g6406.t1_1	rna-XM_971358.5_1
g6408.t1_1	rna-XM_008199169.3_1
g6409.t2_1	rna-XM_008198874.3_1
g6412.t1_1	rna-XM_008198877.3_1
g6414.t2_1	rna-XM_967400.5_1
g6420.t1_1	rna-XM_008198744.3_1
g6421.t1_1	rna-XM_967592.4_1
g6423.t1_1	rna-XM_015983982.2_1
g6424.t1_1	rna-XM_008196779.3_1
g6425.t1_1	rna-XM_008196774.3_1
g6426.t1_1	rna-XM_015982400.2_1
g6427.t1_1	rna-XM_001814781.4_1
g6428.t1_1	rna-XM_015984170.2_1
g6429.t1_1	rna-XM_015982379.2_1
g6430.t1_1	rna-XM_967028.4_1
g6441.t1_1	rna-XM_001814448.4_1
g6442.t1_1	rna-XM_008198841.3_1
g6444.t1_1	rna-XM_964183.5_1
g6446.t1_1	rna-XM_015982055.2_1
g6449.t1_1	rna-XM_064358725.1_1
g6450.t1_1	rna-XM_015979326.2_1
g6451.t1_1	rna-XM_008194019.3_1
g6452.t1_1	rna-XM_015979358.2_1
g6453.t3_1	rna-XM_015979357.2_1
g6454.t1_1	rna-XM_970432.4_1
g6455.t1_1	rna-XM_970434.4_1
g6457.t1_1	rna-XM_064358889.1_1
g6458.t1_1	rna-XM_001816182.4_1
g6460.t1_1	rna-XM_008194025.3_1
g6461.t1_1	rna-XM_064358890.1_1
g6462.t1_1	rna-XM_970442.4_1
g6463.t1_1	rna-XM_008194027.3_1
g6464.t1_1	rna-XM_971391.4_1
g6465.t2_1	rna-XM_970446.4_1
g6470.t1_1	rna-XM_966241.4_1
g6472.t1_1	rna-XM_008194051.3_1
g6473.t1_1	rna-XM_064359121.1_1
g6474.t1_1	rna-XM_970490.4_1
g6475.t1_1	rna-XM_968233.4_1
g6476.t1_1	rna-XM_008194589.3_1
g6478.t1_1	rna-XM_015979546.2_1
g6480.t1_1	rna-XM_008194591.3_1
g6481.t1_1	rna-XM_008194593.3_1
g6482.t1_1	rna-XM_064359015.1_1
g6484.t1_1	rna-XM_008193864.3_1
g6486.t2_1	rna-XM_064358868.1_1
g6487.t1_1	rna-XM_008193883.3_1
g6488.t1_1	rna-XM_008193490.3_1
g6489.t1_1	rna-XM_965636.4_1
g6490.t1_1	rna-XM_001810468.4_1
g6491.t2_1	rna-XM_015980584.2_1
g6502.t1_1	rna-XM_008198256.3_1
g6507.t2_1	rna-XM_008195034.3_1
g6515.t1_1	rna-XM_008195929.3_1
g6521.t1_1	rna-XM_008195863.3_1
g6525.t1_1	rna-XM_008196277.3_1
g6527.t1_1	rna-XM_966716.5_1
g6531.t1_1	rna-XM_001810177.3_1
g6537.t1_1	rna-XM_008198484.3_1
g6544.t1_1	rna-XM_965833.4_1
g6547.t1_1	rna-XM_966610.4_1
g6550.t1_1	rna-XM_969023.4_1
g6554.t2_1	rna-XM_015980752.2_1
g6557.t1_1	rna-XM_008196127.3_1
g6558.t1_1	rna-XM_971248.4_1
g6564.t1_1	rna-XM_008200508.3_1
g6566.t1_1	rna-XM_015979263.2_1
g6568.t1_1	rna-XM_064358100.1_1
g6570.t1_1	rna-XM_001813844.4_1
g6571.t1_1	rna-XM_963016.5_1
g6575.t1_1	rna-XM_064356548.1_1
g6580.t1_1	rna-XM_064356210.1_1
g6582.t1_1	rna-XM_008193137.3_1
g6583.t1_1	rna-XM_008194198.3_1
g6590.t1_1	rna-XM_967784.4_1
g6597.t3_1	rna-XM_015980230.2_1
g6604.t1_1	rna-XM_064357133.1_1
g6606.t1_1	rna-XM_008203054.3_1
g6609.t2_1	rna-XM_008195317.3_1
g6610.t1_1	rna-XM_964169.5_1
g6611.t1_1	rna-XM_008195321.3_1
g6613.t1_1	rna-XM_966055.5_1
g6614.t1_1	rna-XM_008195036.3_1
g6615.t1_1	rna-XM_008195037.3_1
g6617.t1_1	rna-XM_015979491.2_1
g6619.t1_1	rna-XM_001812821.4_1
g6620.t1_1	rna-XM_962541.4_1
g6621.t1_1	rna-XM_001812860.4_1
g6622.t1_1	rna-XM_968533.4_1
g6624.t1_1	rna-XM_969510.4_1
g6627.t1_1	rna-XM_967811.5_1
g6636.t1_1	rna-XM_064358248.1_1
g6637.t4_1	rna-XM_064358246.1_1
g6641.t1_1	rna-XM_008196820.3_1
g6650.t1_1	rna-XM_064358224.1_1
g6651.t1_1	rna-XM_008196225.3_1
g6652.t2_1	rna-XM_008196226.3_1
g6654.t1_1	rna-XM_968427.4_1
g6656.t1_1	rna-XM_964380.5_1
g6658.t1_1	rna-XM_064356611.1_1
g6664.t3_1	rna-XM_015980179.2_1
g6673.t1_1	rna-XM_015985055.2_1
g6680.t1_1	rna-XM_008203432.3_1
g6681.t1_1	rna-XM_968686.4_1
g6682.t2_1	rna-XM_015980185.2_1
g6683.t1_1	rna-XM_969935.4_1
g6684.t1_1	rna-XM_968174.4_1
g6686.t1_1	rna-XM_969342.4_1
g6687.t1_1	rna-XM_015984182.2_1
g6688.t1_1	rna-XM_968748.4_1
g6691.t1_1	rna-XM_968780.4_1
g6692.t2_1	rna-XM_008198358.3_1
g6695.t1_1	rna-XM_963350.5_1
g6696.t1_1	rna-XM_963555.5_1
g6697.t1_1	rna-XM_963774.4_1
g6699.t1_1	rna-XM_064358252.1_1
g6701.t1_1	rna-XM_968942.4_1
g6702.t1_1	rna-XM_969008.5_1
g6703.t1_1	rna-XM_008196636.3_1
g6704.t1_1	rna-XM_008196492.3_1
g6710.t1_1	rna-XM_008195832.3_1
g6711.t2_1	rna-XM_008195781.2_1
g6712.t1_1	rna-XM_963196.4_1
g6713.t1_1	rna-XM_968437.5_1
g6716.t1_1	rna-XM_965030.4_1
g6718.t1_1	rna-XM_064358277.1_1
g6720.t1_1	rna-XM_961812.4_1
g6721.t1_1	rna-XM_008197432.3_1
g6722.t1_1	rna-XM_015980720.2_1
g6726.t1_1	rna-XM_064354798.1_1
g6730.t1_1	rna-XM_962101.4_1
g6735.t2_1	rna-XM_968661.5_1
g6736.t1_1	rna-XM_962246.5_1
g6737.t2_1	rna-XM_008195777.3_1
g6738.t1_1	rna-XM_968100.4_1
g6739.t1_1	rna-XM_008197234.3_1
g6740.t1_1	rna-XM_008195393.3_1
g6741.t1_1	rna-XM_015980537.2_1
g6743.t1_1	rna-XM_968563.4_1
g6744.t1_1	rna-XM_008199952.3_1
g6747.t2_1	rna-XM_008193917.3_1
g6748.t1_1	rna-XM_008193923.3_1
g6749.t1_1	rna-XM_008194056.3_1
g6750.t1_1	rna-XM_963367.5_1
g6751.t1_1	rna-XM_964972.5_1
g6752.t1_1	rna-XM_008197231.3_1
g6755.t2_1	rna-XM_008196761.3_1
g6756.t1_1	rna-XM_008196755.3_1
g6757.t1_1	rna-XM_001809692.4_1
g6758.t1_1	rna-XM_008192448.3_1
g6759.t1_1	rna-XM_961785.4_1
g6760.t1_1	rna-XM_008203284.3_1
g6761.t1_1	rna-XM_970673.5_1
g6762.t1_1	rna-XM_961965.5_1
g6763.t1_1	rna-XM_968564.4_1
g6764.t1_1	rna-XM_969659.4_1
g6765.t1_1	rna-XM_966247.5_1
g6766.t1_1	rna-XM_015984068.2_1
g6767.t1_1	rna-XM_008202853.3_1
g6768.t1_1	rna-XM_967640.5_1
g6769.t1_1	rna-XM_968434.4_1
g6770.t1_1	rna-XM_966343.5_1
g6771.t2_1	rna-XM_015983951.2_1
g6772.t1_1	rna-XM_008202100.3_1
g6773.t1_1	rna-XM_966405.4_1
g6774.t1_1	rna-XM_962679.4_1
g6775.t1_1	rna-XM_008203279.3_1
g6778.t1_1	rna-XM_966154.5_1
g6779.t1_1	rna-XM_967862.4_1
g6780.t1_1	rna-XM_015979359.2_1
g6781.t1_1	rna-XM_963331.5_1
g6782.t1_1	rna-XM_966792.5_1
g6783.t1_1	rna-XM_968552.4_1
g6784.t1_1	rna-XM_064358420.1_1
g6785.t1_1	rna-XM_971179.4_1
g6786.t1_1	rna-XM_008196612.3_1
g6787.t1_1	rna-XM_968275.5_1
g6788.t1_1	rna-XM_965825.4_1
g6789.t1_1	rna-XM_966785.5_1
g6790.t3_1	rna-XM_008203490.3_1
g6791.t1_1	rna-XM_064358309.1_1
g6792.t1_1	rna-XM_015980773.2_1
g6795.t2_1	rna-XM_008195882.3_1
g6797.t1_1	rna-XM_962303.4_1
g6798.t1_1	rna-XM_008199147.3_1
g6800.t1_1	rna-XM_964703.4_1
g6801.t1_1	rna-XM_964402.5_1
g6804.t1_1	rna-XM_964115.4_1
g6805.t2_1	rna-XM_008199144.3_1
g6806.t1_1	rna-XM_015982961.1_1
g6807.t1_1	rna-XM_008199295.3_1
g6809.t1_1	rna-XM_001810906.4_1
g6811.t1_1	rna-XM_963750.4_1
g6812.t1_1	rna-XM_008199289.3_1
g6813.t1_1	rna-XM_015982832.2_1
g6815.t1_1	rna-XM_015982909.2_1
g6817.t1_1	rna-XM_008199287.3_1
g6818.t1_1	rna-XM_008199285.3_1
g6819.t2_1	rna-XM_963709.5_1
g6820.t1_1	rna-XM_008200475.3_1
g6821.t2_1	rna-XM_963780.5_1
g6825.t1_1	rna-XM_965131.4_1
g6826.t2_1	rna-XM_965069.5_1
g6827.t2_1	rna-XM_064357729.1_1
g6830.t1_1	rna-XM_008196275.2_1
g6831.t1_1	rna-XM_008201956.3_1
g6832.t1_1	rna-XM_968374.5_1
g6837.t1_1	rna-XM_966822.4_1
g6838.t1_1	rna-XM_064357254.1_1
g6839.t1_1	rna-XM_008197893.3_1
g6840.t1_1	rna-XM_962655.5_1
g6841.t1_1	rna-XM_963326.5_1
g6842.t1_1	rna-XM_064358611.1_1
g6844.t1_1	rna-XM_015981540.2_1
g6845.t1_1	rna-XM_001814350.4_1
g6846.t1_1	rna-XM_962971.5_1
g6847.t1_1	rna-XM_064358604.1_1
g6850.t1_1	rna-XM_966486.5_1
g6852.t1_1	rna-XM_008202664.3_1
g6853.t1_1	rna-XM_965975.4_1
g6855.t1_1	rna-XM_064356459.1_1
g6856.t1_1	rna-XM_963908.5_1
g6857.t1_1	rna-NM_001039407.2_1
g6858.t1_1	rna-XM_064359154.1_1
g6859.t2_1	rna-XM_064358645.1_1
g6861.t1_1	rna-XM_064359170.1_1
g6862.t1_1	rna-XM_008194357.3_1
g6864.t1_1	rna-XM_967693.4_1
g6866.t1_1	rna-XM_008193406.3_1
g6867.t1_1	rna-XM_008193327.3_1
g6868.t1_1	rna-XM_008201899.3_1
g6869.t1_1	rna-XM_008201905.3_1
g6870.t2_1	rna-XM_064355723.1_1
g6873.t1_1	rna-XM_008194547.3_1
g6874.t1_1	rna-XM_064359176.1_1
g6876.t1_1	rna-XM_008193360.3_1
g6877.t1_1	rna-XM_966480.5_1
g6878.t1_1	rna-XM_966422.4_1
g6879.t1_1	rna-XM_008193357.3_1
g6880.t1_1	rna-XM_966116.4_1
g6881.t1_1	rna-XM_962958.4_1
g6882.t1_1	rna-XM_966016.5_1
g6883.t1_1	rna-XM_965955.4_1
g6884.t2_1	rna-XM_008195503.3_1
g6885.t1_1	rna-XM_001813393.4_1
g6887.t1_1	rna-XM_966050.4_1
g6888.t1_1	rna-XM_008194378.3_1
g6889.t1_1	rna-XM_008193642.3_1
g6893.t1_1	rna-XM_008193710.3_1
g6897.t1_1	rna-XM_008197037.3_1
g6898.t1_1	rna-XM_008200721.3_1
g6900.t1_1	rna-XM_008199647.3_1
g6903.t1_1	rna-XM_969334.4_1
g6904.t1_1	rna-XM_962083.4_1
g6905.t1_1	rna-XM_967791.5_1
g6906.t2_1	rna-XM_008197930.3_1
g6907.t2_1	rna-XM_967978.4_1
g6908.t1_1	rna-XM_964319.4_1
g6909.t1_1	rna-XM_967874.4_1
g6910.t1_1	rna-XM_966824.5_1
g6913.t1_1	rna-XM_008196760.3_1
g6916.t1_1	rna-XM_015980865.2_1
g6917.t1_1	rna-XM_968020.4_1
g6918.t1_1	rna-XM_967689.4_1
g6919.t1_1	rna-XM_964621.4_1
g6920.t1_1	rna-XM_015981004.2_1
g6921.t1_1	rna-XM_001814349.3_1
g6923.t1_1	rna-XM_961472.5_1
g6924.t1_1	rna-XM_008196517.3_1
g6925.t1_1	rna-XM_064356885.1_1
g6926.t1_1	rna-XM_961256.5_1
g6927.t1_1	rna-XM_965185.5_1
g6933.t1_1	rna-XM_970152.4_1
g6934.t1_1	rna-XM_008196203.3_1
g6935.t1_1	rna-XM_970119.4_1
g6936.t1_1	rna-XM_970136.4_1
g6937.t1_1	rna-XM_001807235.4_1
g6938.t1_1	rna-XM_008196457.3_1
g6939.t1_1	rna-XM_964156.5_1
g6940.t1_1	rna-XM_964492.5_1
g6942.t1_1	rna-XM_015979678.2_1
g6944.t1_1	rna-XM_015979675.2_1
g6946.t1_1	rna-XM_964854.5_1
g6947.t1_1	rna-XM_008196487.3_1
g6948.t2_1	rna-XM_964924.4_1
g6950.t1_1	rna-XM_964577.5_1
g6951.t1_1	rna-XM_008196531.3_1
g6956.t1_1	rna-XM_962734.4_1
g6957.t1_1	rna-XM_008193758.3_1
g6958.t2_1	rna-XM_008202456.3_1
g6959.t1_1	rna-XM_961582.4_1
g6962.t1_1	rna-XM_015984900.2_1
g6963.t1_1	rna-XM_008203288.3_1
g6964.t1_1	rna-XM_961375.4_1
g6965.t1_1	rna-XM_008196450.3_1
g6966.t1_1	rna-XM_064358472.1_1
g6967.t1_1	rna-XM_966620.4_1
g6968.t1_1	rna-XM_008196294.3_1
g6969.t1_1	rna-XM_968476.5_1
g6971.t1_1	rna-XM_008202141.3_1
g6973.t1_1	rna-XM_008201155.3_1
g6974.t1_1	rna-XM_964832.4_1
g6975.t1_1	rna-XM_962854.4_1
g6976.t1_1	rna-XM_969702.5_1
g6977.t1_1	rna-XM_008196482.3_1
g6978.t1_1	rna-XM_963368.5_1
g6980.t1_1	rna-XM_968639.5_1
g6982.t1_1	rna-XM_064356482.1_1
g6983.t1_1	rna-XM_015983124.2_1
g6984.t1_1	rna-XM_963437.4_1
g6986.t1_1	rna-XM_965158.4_1
g6987.t1_1	rna-XM_001811257.4_1
g6989.t1_1	rna-XM_969108.4_1
g6990.t1_1	rna-XM_969134.4_1
g6991.t1_1	rna-XM_008196434.3_1
g6992.t1_1	rna-XM_968817.3_1
g6993.t1_1	rna-XM_008196433.3_1
g6994.t1_1	rna-XM_064357188.1_1
g6995.t1_1	rna-XM_968030.4_1
g6996.t1_1	rna-XM_968222.4_1
g6997.t1_1	rna-XM_064356839.1_1
g6999.t1_1	rna-XM_008198901.3_1
g7000.t2_1	rna-XM_967917.5_1
g7001.t1_1	rna-XM_965471.5_1
g7003.t1_1	rna-XM_966613.4_1
g7004.t1_1	rna-NM_001109780.1_1
g7005.t2_1	rna-XM_008198594.3_1
g7006.t2_1	rna-XM_015982588.2_1
g7008.t1_1	rna-NM_001293579.1_1
g7009.t1_1	rna-XM_962341.4_1
g7010.t1_1	rna-XM_964891.4_1
g7011.t1_1	rna-XM_001809235.4_1
g7012.t1_1	rna-XM_964933.5_1
g7027.t2_1	rna-XM_064358213.1_1
g7028.t2_1	rna-XM_008197885.3_1
g7031.t3_1	rna-XM_015982307.2_1
g7032.t1_1	rna-XM_015980279.2_1
g7033.t1_1	rna-XM_008202213.3_1
g7039.t1_1	rna-XM_008194957.3_1
g7041.t1_1	rna-XM_015979715.2_1
g7044.t1_1	rna-XM_015980538.2_1
g7045.t1_1	rna-XM_008196732.3_1
g7048.t1_1	rna-NM_001130521.1_1
g7049.t1_1	rna-XM_015980119.2_1
g7050.t1_1	rna-XM_008202226.3_1
g7051.t1_1	rna-XM_971069.4_1
g7054.t1_1	rna-XM_015982558.2_1
g7057.t1_1	rna-XM_064357444.1_1
g7058.t1_1	rna-XM_969067.4_1
g7063.t2_1	rna-XM_968112.4_1
g7064.t1_1	rna-XM_968148.5_1
g7072.t1_1	rna-XM_008198763.3_1
g7073.t1_1	rna-XM_015980123.2_1
g7074.t1_1	rna-XM_015980141.2_1
g7079.t1_1	rna-XM_962297.4_1
g7080.t1_1	rna-XM_015982691.2_1
g7081.t1_1	rna-XM_008203378.3_1
g7087.t1_1	rna-XM_968181.4_1
g7088.t1_1	rna-XM_962510.4_1
g7091.t1_1	rna-XM_015982771.2_1
g7094.t1_1	rna-XM_008198812.3_1
g7095.t1_1	rna-XM_965905.5_1
g7096.t2_1	rna-XM_965169.4_1
g7097.t1_1	rna-NM_001134452.1_1
g7099.t1_1	rna-XM_008198251.3_1
g7102.t1_1	rna-XM_001810481.4_1
g7103.t1_1	rna-XM_008193878.3_1
g7104.t1_1	rna-XM_963599.5_1
g7105.t1_1	rna-XM_008199140.3_1
g7107.t2_1	rna-XM_008196660.3_1
g7108.t2_1	rna-XM_968440.5_1
g7109.t1_1	rna-XM_008203441.3_1
g7110.t1_1	rna-XM_961993.5_1
g7111.t1_1	rna-XM_008196614.3_1
g7114.t2_1	rna-XM_008197979.3_1
g7115.t1_1	rna-XM_967986.5_1
g7116.t1_1	rna-XM_962542.4_1
g7117.t1_1	rna-XM_968961.5_1
g7118.t1_1	rna-XM_015982544.2_1
g7121.t1_1	rna-XM_968072.4_1
g7122.t1_1	rna-XM_064359173.1_1
g7124.t1_1	rna-XM_969014.4_1
g7125.t1_1	rna-XM_968986.4_1
g7126.t1_1	rna-XM_968960.4_1
g7127.t1_1	rna-XM_008197977.3_1
g7128.t1_1	rna-XM_968907.4_1
g7129.t1_1	rna-XM_015982326.2_1
g7130.t1_1	rna-XM_968823.4_1
g7132.t1_1	rna-XM_968796.3_1
g7136.t1_1	rna-XM_963060.5_1
g7137.t1_1	rna-XM_015982277.2_1
g7140.t1_1	rna-XM_008200519.3_1
g7142.t1_1	rna-XM_001810124.4_1
g7143.t1_1	rna-XM_963530.4_1
g7145.t1_1	rna-XM_015983026.2_1
g7146.t1_1	rna-XM_961248.4_1
g7147.t1_1	rna-XM_970051.5_1
g7148.t1_1	rna-XM_008199286.3_1
g7149.t1_1	rna-XM_966818.4_1
g7150.t1_1	rna-XM_064358551.1_1
g7152.t1_1	rna-XM_015983935.2_1
g7156.t1_1	rna-XM_064357876.1_1
g7711.t1_1	rna-XM_015982754.2_1
g7713.t1_1	rna-XM_970196.4_1
g7714.t1_1	rna-XM_967253.4_1
g7715.t1_1	rna-XM_064357269.1_1
g7716.t1_1	rna-XM_001807893.4_1
g7717.t2_1	rna-NM_001170845.1_1
g7718.t1_1	rna-XM_963748.4_1
g7719.t1_1	rna-XM_015985134.2_1
g7720.t1_1	rna-XM_008203080.3_1
g7721.t2_1	rna-XM_967025.5_1
g7722.t1_1	rna-XM_962990.3_1
g7723.t2_1	rna-XM_015980459.2_1
g7725.t5_1	rna-XM_008193079.3_1
g7726.t2_1	rna-XM_008195866.3_1
g7727.t1_1	rna-XM_064357175.1_1
g7728.t1_1	rna-XM_967114.4_1
g7729.t1_1	rna-XM_967789.5_1
g7730.t1_1	rna-XM_064359896.1_1
g7732.t1_1	rna-XM_015981392.2_1
g7733.t1_1	rna-XM_963150.4_1
g7734.t1_1	rna-XM_963812.5_1
g7735.t1_1	rna-XM_966403.4_1
g7736.t1_1	rna-XM_064357325.1_1
g7737.t3_1	rna-XM_962981.3_1
g7738.t1_1	rna-XM_969346.5_1
g7739.t1_1	rna-XM_969325.4_1
g7740.t1_1	rna-XM_967695.5_1
g7741.t1_1	rna-XM_969655.5_1
g7742.t1_1	rna-XM_008194077.3_1
g7744.t1_1	rna-XM_008201559.3_1
g7745.t1_1	rna-XM_962198.4_1
g7746.t1_1	rna-XM_008192836.3_1
g7748.t1_1	rna-XM_964646.4_1
g7750.t1_1	rna-XM_015984605.2_1
g7751.t1_1	rna-XM_008201564.3_1
g7752.t1_1	rna-XM_964130.5_1
g7753.t1_1	rna-XM_964200.5_1
g7755.t1_1	rna-XM_008193599.3_1
g7756.t1_1	rna-XM_015981730.2_1
g7758.t1_1	rna-XM_064359385.1_1
g7760.t1_1	rna-XM_064356455.1_1
g7762.t2_1	rna-XM_008198551.3_1
g7764.t2_1	rna-XM_971318.5_1
g7765.t1_1	rna-XM_968182.5_1
g7767.t2_1	rna-XM_969577.5_1
g7768.t1_1	rna-XM_008199252.3_1
g7769.t1_1	rna-XM_008193621.3_1
g7770.t2_1	rna-XM_008199035.3_1
g7771.t1_1	rna-XM_965780.4_1
g7772.t1_1	rna-XM_008198625.3_1
g7773.t1_1	rna-XM_008198626.3_1
g7774.t3_1	rna-XM_015982981.2_1
g7775.t1_1	rna-XM_015982989.2_1
g7781.t1_1	rna-XM_008201077.3_1
g7782.t2_1	rna-XM_964949.5_1
g7783.t1_1	rna-XM_001814844.4_1
g7784.t1_1	rna-XM_961548.5_1
g7785.t1_1	rna-XM_962108.4_1
g7787.t1_1	rna-XM_963266.5_1
g7788.t1_1	rna-XM_015979865.2_1
g7790.t1_1	rna-XM_966505.4_1
g7792.t1_1	rna-XM_008199758.3_1
g7793.t1_1	rna-XM_962033.5_1
g7794.t1_1	rna-XM_969541.4_1
g7795.t1_1	rna-XM_008199760.3_1
g7796.t1_1	rna-XM_008193125.3_1
g7797.t1_1	rna-XM_064354672.1_1
g7798.t1_1	rna-XM_963273.5_1
g7799.t1_1	rna-XM_001815192.4_1
g7806.t1_1	rna-XM_008199685.3_1
g7807.t1_1	rna-XM_064356695.1_1
g7808.t1_1	rna-NM_001164808.1_1
g7812.t1_1	rna-XM_008199886.3_1
g7813.t1_1	rna-XM_008199885.3_1
g7816.t1_1	rna-XM_008198632.2_1
g7817.t1_1	rna-XM_064357355.1_1
g7818.t1_1	rna-XM_015982798.2_1
g7819.t1_1	rna-XM_008198636.3_1
g7820.t1_1	rna-XM_008198638.3_1
g7821.t1_1	rna-XM_008198639.3_1
g7822.t2_1	rna-XM_008201970.3_1
g7823.t1_1	rna-XM_008192894.3_1
g7829.t1_1	rna-XM_962154.5_1
g7830.t2_1	rna-XM_008193070.3_1
g7831.t1_1	rna-XM_969798.4_1
g7832.t2_1	rna-XM_008195662.3_1
g7833.t2_1	rna-XM_969307.5_1
g7836.t1_1	rna-XM_965031.5_1
g7837.t1_1	rna-XM_008197980.3_1
g7847.t1_1	rna-XM_967881.4_1
g7848.t1_1	rna-XM_008198887.3_1
g7849.t1_1	rna-XM_015982936.2_1
g7850.t1_1	rna-XM_008199047.3_1
g7851.t1_1	rna-XM_967046.5_1
g7853.t3_1	rna-XM_064357568.1_1
g7854.t1_1	rna-XM_008198871.3_1
g7856.t1_1	rna-XM_008198553.3_1
g7858.t1_1	rna-XM_968882.4_1
g7859.t1_1	rna-XM_968934.5_1
g7860.t1_1	rna-XM_015982661.2_1
g7861.t1_1	rna-XM_015982569.2_1
g7863.t1_1	rna-NM_001416449.1_1
g7877.t1_1	rna-XM_971232.5_1
g7878.t1_1	rna-XM_965843.4_1
g7879.t1_1	rna-XM_001808849.4_1
g7881.t1_1	rna-XM_001808659.4_1
g7883.t1_1	rna-XM_008200748.3_1
g7884.t1_1	rna-XM_965596.4_1
g7885.t1_1	rna-XM_015978548.2_1
g7886.t1_1	rna-XM_064357386.1_1
g7888.t3_1	rna-XM_064357283.1_1
g7889.t1_1	rna-XM_968613.4_1
g7890.t1_1	rna-XM_008201587.3_1
g7891.t1_1	rna-XM_008198928.3_1
g7892.t1_1	rna-XM_008198927.3_1
g7893.t1_1	rna-XM_008198930.3_1
g7897.t1_1	rna-XM_008200482.3_1
g7898.t1_1	rna-XM_008200480.3_1
g7900.t1_1	rna-XM_963286.4_1
g7901.t2_1	rna-XM_008198392.3_1
g7902.t1_1	rna-XM_008198471.3_1
g7903.t1_1	rna-XM_962978.4_1
g7905.t1_1	rna-XM_015980569.2_1
g7914.t2_1	rna-XM_964058.5_1
g7915.t1_1	rna-XM_962861.4_1
g7916.t2_1	rna-XM_961314.5_1
g7917.t1_1	rna-XM_964133.5_1
