g7.t1_1	rna-NM_132816.4_1
g6163.t1_1	rna-NM_167245.3_1
g6164.t1_1	rna-NM_140089.1_1
g6165.t1_1	rna-NM_134936.3_1
g6166.t1_1	rna-NM_001272152.1_1
g6167.t1_1	rna-NM_001032015.2_1
g6169.t1_1	rna-NM_144401.3_1
g6171.t1_1	rna-NM_137903.4_1
g6179.t1_1	rna-NM_140740.4_1
g6184.t2_1	rna-NM_134789.3_1
g6185.t1_1	rna-NM_132914.4_1
g6189.t1_1	rna-NM_142172.3_1
g6191.t3_1	rna-NM_080317.2_1
g6194.t1_1	rna-NM_206496.2_1
g6195.t1_1	rna-NM_135327.4_1
g6197.t1_1	rna-NM_078709.4_1
g6198.t1_1	rna-NM_167637.2_1
g6201.t1_1	rna-NM_143210.4_1
g6202.t1_1	rna-NM_001273993.1_1
g6203.t1_1	rna-NM_001043247.2_1
g6204.t1_1	rna-NM_167770.3_1
g6205.t1_1	rna-NM_001144529.2_1
g6207.t1_1	rna-NM_135051.5_1
g6211.t1_1	rna-NM_080081.3_1
g6212.t1_1	rna-NM_058125.5_1
g6213.t1_1	rna-NM_142277.3_1
g6214.t4_1	rna-NM_170019.2_1
g6215.t1_1	rna-NM_001014730.2_1
g6223.t1_1	rna-NM_001298263.1_1
g6227.t1_1	rna-NM_206596.2_1
g6228.t2_1	rna-NM_131952.3_1
g6229.t1_1	rna-NM_001275111.1_1
g6233.t1_1	rna-NM_143008.3_1
g6236.t1_1	rna-NM_132119.3_1
g6237.t1_1	rna-NM_001369996.1_1
g6238.t1_1	rna-NM_001144723.2_1
g6241.t1_1	rna-NM_001297780.1_1
g6242.t1_1	rna-NM_001299911.1_1
g6243.t1_1	rna-NM_001300116.1_1
g6244.t1_1	rna-NM_001297867.1_1
g6245.t1_1	rna-NM_144348.3_1
g6246.t1_1	rna-NM_057992.3_1
g6247.t2_1	rna-NM_001274122.1_1
g6250.t1_1	rna-NM_140476.3_1
g6256.t1_1	rna-NM_001298690.1_1
g6257.t2_1	rna-NM_001275795.1_1
g6258.t1_1	rna-NM_001298860.1_1
g6260.t1_1	rna-NM_001299073.1_1
g6266.t2_1	rna-NM_169029.3_1
g6267.t1_1	rna-NM_001273098.1_1
g6268.t1_1	rna-NM_139515.5_1
g6269.t2_1	rna-NM_001414148.1_1
g6270.t1_1	rna-NM_139950.3_1
g6272.t1_1	rna-NM_139952.3_1
g6280.t1_1	rna-NM_001275122.1_1
g6295.t2_1	rna-NM_140726.3_1
g6296.t1_1	rna-NM_001260013.1_1
g6297.t1_1	rna-NM_135188.3_1
g6298.t1_1	rna-NM_166215.2_1
g6299.t1_1	rna-NM_057785.5_1
g6300.t1_1	rna-NM_001298722.1_1
g6302.t1_1	rna-NM_001299072.1_1
g6305.t1_1	rna-NM_141227.3_1
g6306.t1_1	rna-NM_001169921.2_1
g6307.t1_1	rna-NM_135969.4_1
g6309.t1_1	rna-NM_001297881.1_1
g6310.t1_1	rna-NM_132041.3_1
g6311.t1_1	rna-NM_135235.3_1
g6312.t1_1	rna-NM_139535.4_1
g6313.t1_1	rna-NM_139536.4_1
g6314.t1_1	rna-NM_079308.2_1
g6315.t2_1	rna-NM_001298642.1_1
g6316.t1_1	rna-NM_176362.2_1
g6319.t1_1	rna-NM_001274761.1_1
g6322.t1_1	rna-NM_001274485.1_1
g6325.t2_1	rna-NM_170492.2_1
g6326.t1_1	rna-NM_143550.3_1
g6327.t1_1	rna-NM_169588.2_1
g6328.t1_1	rna-NM_167644.2_1
g6330.t1_1	rna-NM_001014529.3_1
g6331.t1_1	rna-NM_142325.3_1
g6332.t1_1	rna-NM_001382177.1_1
g6333.t1_1	rna-NM_001015241.4_1
g6335.t1_1	rna-NM_168898.2_1
g6337.t1_1	rna-NM_001042936.1_1
g6338.t1_1	rna-NM_137414.3_1
g6339.t2_1	rna-NM_001298750.1_1
g6340.t1_1	rna-NM_001274652.1_1
g6341.t1_1	rna-NM_136822.4_1
g6343.t2_1	rna-NM_141864.2_1
g6346.t1_1	rna-NM_166060.3_1
g6347.t1_1	rna-NM_170522.4_1
g6356.t1_1	rna-NM_001382116.1_1
g6363.t1_1	rna-NM_079490.4_1
g6364.t3_1	rna-NM_057839.5_1
g6365.t1_1	rna-NM_134804.4_1
g6367.t1_1	rna-NM_078794.3_1
g6370.t1_1	rna-NM_001259559.1_1
g6371.t2_1	rna-NM_135720.2_1
g6372.t1_1	rna-NM_001272942.2_1
g6373.t1_1	rna-NM_001273700.1_1
g6374.t3_1	rna-NM_141239.5_1
g6375.t1_1	rna-NM_140254.3_1
g6377.t1_1	rna-NM_001043087.2_1
g6379.t1_1	rna-NM_057406.4_1
g6380.t1_1	rna-NM_141716.3_1
g6382.t1_1	rna-NM_079748.4_1
g6383.t1_1	rna-NM_001104094.2_1
g6384.t8_1	rna-NM_001014703.3_1
g6388.t1_1	rna-NM_140549.3_1
g6389.t1_1	rna-NM_001316498.1_1
g6390.t5_1	rna-NM_001272957.1_1
g6392.t1_1	rna-NM_164602.2_1
g6394.t2_1	rna-NM_143367.3_1
g6395.t1_1	rna-NM_142335.3_1
g6396.t1_1	rna-NM_137230.3_1
g6408.t1_1	rna-NM_133016.3_1
g6409.t2_1	rna-NM_132936.4_1
g6412.t1_1	rna-NM_001042819.3_1
g6420.t1_1	rna-NM_080514.2_1
g6421.t1_1	rna-NM_079780.3_1
g6425.t1_1	rna-NM_136429.4_1
g6426.t1_1	rna-NM_141517.4_1
g6427.t1_1	rna-NM_078989.3_1
g6428.t1_1	rna-NM_142982.3_1
g6430.t1_1	rna-NM_141439.3_1
g6440.t1_1	rna-NM_135457.3_1
g6442.t1_1	rna-NM_001042804.3_1
g6444.t1_1	rna-NM_001298460.1_1
g6449.t1_1	rna-NM_001272254.2_1
g6450.t1_1	rna-NM_001274921.1_1
g6451.t1_1	rna-NM_001297979.1_1
g6452.t1_1	rna-NM_168008.3_1
g6453.t3_1	rna-NM_001258824.1_1
g6454.t1_1	rna-NM_137178.6_1
g6455.t1_1	rna-NM_079459.3_1
g6457.t1_1	rna-NM_142659.2_1
g6462.t1_1	rna-NM_134984.4_1
g6463.t1_1	rna-NM_142415.3_1
g6464.t1_1	rna-NM_176388.3_1
g6465.t2_1	rna-NM_141662.3_1
g6470.t1_1	rna-NM_001170143.2_1
g6474.t1_1	rna-NM_130500.4_1
g6475.t1_1	rna-NM_137760.3_1
g6476.t1_1	rna-NM_001103637.3_1
g6481.t1_1	rna-NM_136213.4_1
g6482.t1_1	rna-NM_143717.3_1
g6484.t1_1	rna-NM_168031.2_1
g6486.t2_1	rna-NM_001298296.1_1
g6487.t1_1	rna-NM_132275.2_1
g6488.t1_1	rna-NM_206690.2_1
g6489.t1_1	rna-NM_139733.2_1
g6490.t1_1	rna-NM_206233.2_1
g6491.t2_1	rna-NM_139802.3_1
g6503.t2_1	rna-NM_001104090.2_1
g6506.t1_1	rna-NM_140687.5_1
g6509.t1_1	rna-NM_080201.3_1
g6515.t1_1	rna-NM_168841.2_1
g6519.t1_1	rna-NM_168859.2_1
g6524.t1_1	rna-NM_139686.3_1
g6534.t1_1	rna-NM_165945.2_1
g6544.t1_1	rna-NM_001299680.1_1
g6548.t1_1	rna-NM_001015096.4_1
g6549.t2_1	rna-NM_137568.3_1
g6550.t1_1	rna-NM_139386.4_1
g6564.t1_1	rna-NM_001104229.3_1
g6568.t1_1	rna-NM_058088.4_1
g6570.t1_1	rna-NM_001275234.1_1
g6571.t1_1	rna-NM_001298974.1_1
g6572.t1_1	rna-NM_001275866.1_1
g6574.t1_1	rna-NM_137585.4_1
g6592.t1_1	rna-NM_001103902.1_1
g6597.t3_1	rna-NM_001259999.2_1
g6598.t1_1	rna-NM_141219.2_1
g6610.t1_1	rna-NM_168537.2_1
g6612.t1_1	rna-NM_139799.4_1
g6613.t1_1	rna-NM_001300179.1_1
g6615.t1_1	rna-NM_001272900.1_1
g6619.t1_1	rna-NM_001169504.2_1
g6620.t1_1	rna-NM_001031938.3_1
g6621.t1_1	rna-NM_143460.4_1
g6624.t1_1	rna-NM_134704.5_1
g6625.t1_1	rna-NM_143716.5_1
g6627.t1_1	rna-NM_142580.3_1
g6637.t4_1	rna-NM_169657.3_1
g6641.t1_1	rna-NM_001202298.3_1
g6649.t1_1	rna-NM_141526.4_1
g6651.t1_1	rna-NM_132410.3_1
g6654.t1_1	rna-NM_165541.2_1
g6656.t1_1	rna-NM_001258898.3_1
g6660.t1_1	rna-NM_057658.5_1
g6665.t1_1	rna-NM_001300484.1_1
g6670.t1_1	rna-NM_057579.5_1
g6673.t1_1	rna-NM_001031967.2_1
g6683.t1_1	rna-NM_080496.4_1
g6685.t1_1	rna-NM_001347808.1_1
g6686.t1_1	rna-NM_001300183.1_1
g6687.t1_1	rna-NM_079607.3_1
g6695.t1_1	rna-NM_137419.3_1
g6696.t1_1	rna-NM_176162.3_1
g6697.t1_1	rna-NM_206544.2_1
g6700.t1_1	rna-NM_132701.4_1
g6704.t1_1	rna-NM_080169.3_1
g6711.t2_1	rna-NM_167196.3_1
g6712.t1_1	rna-NM_140512.2_1
g6713.t1_1	rna-NM_135455.3_1
g6714.t1_1	rna-NM_164858.2_1
g6716.t1_1	rna-NM_001275072.1_1
g6718.t1_1	rna-NM_140031.3_1
g6722.t1_1	rna-NM_001299229.1_1
g6726.t1_1	rna-NM_001273877.1_1
g6735.t2_1	rna-NM_001298166.1_1
g6736.t1_1	rna-NM_001300668.1_1
g6737.t2_1	rna-NM_080047.2_1
g6739.t1_1	rna-NM_136608.4_1
g6740.t1_1	rna-NM_142719.2_1
g6741.t1_1	rna-NM_141252.3_1
g6743.t1_1	rna-NM_001316386.1_1
g6744.t1_1	rna-NM_135097.4_1
g6747.t2_1	rna-NM_167026.4_1
g6748.t1_1	rna-NM_167378.2_1
g6749.t1_1	rna-NM_001110989.3_1
g6750.t1_1	rna-NM_001273053.1_1
g6751.t1_1	rna-NM_136340.3_1
g6755.t2_1	rna-NM_133088.1_1
g6757.t1_1	rna-NM_001104170.3_1
g6758.t1_1	rna-NM_139691.2_1
g6759.t1_1	rna-NM_167427.2_1
g6760.t1_1	rna-NM_132274.3_1
g6761.t1_1	rna-NM_001276177.1_1
g6762.t1_1	rna-NM_001276175.2_1
g6763.t1_1	rna-NM_135993.4_1
g6764.t1_1	rna-NM_136003.5_1
g6765.t1_1	rna-NM_139856.4_1
g6767.t1_1	rna-NM_001274719.1_1
g6768.t1_1	rna-NM_176542.4_1
g6769.t1_1	rna-NM_168988.3_1
g6770.t1_1	rna-NM_142527.3_1
g6771.t2_1	rna-NM_134654.5_1
g6772.t1_1	rna-NM_079564.4_1
g6773.t1_1	rna-NM_143495.3_1
g6774.t1_1	rna-NM_130517.3_1
g6775.t1_1	rna-NM_078710.4_1
g6779.t1_1	rna-NM_078525.4_1
g6780.t1_1	rna-NM_132026.2_1
g6781.t1_1	rna-NM_079269.3_1
g6782.t1_1	rna-NM_143785.3_1
g6783.t1_1	rna-NM_164678.2_1
g6784.t1_1	rna-NM_079433.3_1
g6786.t1_1	rna-NM_137299.4_1
g6788.t1_1	rna-NM_079019.3_1
g6789.t1_1	rna-NM_143744.4_1
g6790.t3_1	rna-NM_140767.2_1
g6791.t1_1	rna-NM_132467.3_1
g6792.t1_1	rna-NM_079062.3_1
g6797.t1_1	rna-NM_142748.5_1
g6798.t1_1	rna-NM_132987.2_1
g6801.t1_1	rna-NM_206066.3_1
g6804.t1_1	rna-NM_001299535.1_1
g6805.t2_1	rna-NM_166324.2_1
g6813.t1_1	rna-NM_001273511.1_1
g6817.t1_1	rna-NM_001104099.3_1
g6818.t1_1	rna-NM_001298394.1_1
g6819.t2_1	rna-NM_170000.3_1
g6821.t2_1	rna-NM_169649.2_1
g6822.t1_1	rna-NM_139473.4_1
g6826.t2_1	rna-NM_170168.2_1
g6827.t2_1	rna-NM_001276163.1_1
g6830.t1_1	rna-NM_001299700.1_1
g6831.t1_1	rna-NM_080486.3_1
g6832.t1_1	rna-NM_137296.4_1
g6837.t1_1	rna-NM_141261.4_1
g6838.t1_1	rna-NM_140388.2_1
g6839.t1_1	rna-NM_057923.4_1
g6840.t1_1	rna-NM_132838.3_1
g6841.t1_1	rna-NM_136740.4_1
g6845.t1_1	rna-NM_137906.4_1
g6846.t1_1	rna-NM_001258475.2_1
g6847.t1_1	rna-NM_079938.4_1
g6850.t1_1	rna-NM_079582.5_1
g6852.t1_1	rna-NM_136585.3_1
g6853.t1_1	rna-NM_137995.3_1
g6855.t1_1	rna-NM_001103907.3_1
g6857.t1_1	rna-NM_001299823.1_1
g6858.t1_1	rna-NM_079330.3_1
g6861.t1_1	rna-NM_078722.3_1
g6864.t1_1	rna-NM_167517.3_1
g6867.t1_1	rna-NM_134746.4_1
g6868.t1_1	rna-NM_137488.3_1
g6870.t2_1	rna-NM_138121.2_1
g6873.t1_1	rna-NM_176243.2_1
g6874.t1_1	rna-NM_143176.2_1
g6877.t1_1	rna-NM_206607.2_1
g6878.t1_1	rna-NM_140232.3_1
g6879.t1_1	rna-NM_001272314.1_1
g6880.t1_1	rna-NM_079146.3_1
g6881.t1_1	rna-NM_001031917.2_1
g6882.t1_1	rna-NM_137064.3_1
g6883.t1_1	rna-NM_078705.3_1
g6885.t1_1	rna-NM_001169445.3_1
g6887.t1_1	rna-NM_130477.4_1
g6889.t1_1	rna-NM_143733.2_1
g6893.t1_1	rna-NM_137582.3_1
g6897.t1_1	rna-NM_142069.4_1
g6898.t1_1	rna-NM_058065.3_1
g6900.t1_1	rna-NM_168802.2_1
g6903.t1_1	rna-NM_137532.3_1
g6904.t1_1	rna-NM_078574.4_1
g6905.t1_1	rna-NM_143669.2_1
g6906.t2_1	rna-NM_001259184.1_1
g6907.t2_1	rna-NM_137631.7_1
g6908.t1_1	rna-NM_142097.4_1
g6909.t1_1	rna-NM_132013.3_1
g6910.t1_1	rna-NM_001104007.4_1
g6913.t1_1	rna-NM_135032.2_1
g6916.t1_1	rna-NM_079299.4_1
g6917.t1_1	rna-NM_080057.4_1
g6918.t1_1	rna-NM_138099.3_1
g6919.t1_1	rna-NM_001144298.2_1
g6924.t1_1	rna-NM_139724.4_1
g6925.t1_1	rna-NM_139953.4_1
g6926.t1_1	rna-NM_001298072.1_1
g6927.t1_1	rna-NM_001275123.1_1
g6933.t1_1	rna-NM_139726.2_1
g6934.t1_1	rna-NM_001274513.1_1
g6935.t1_1	rna-NM_078727.3_1
g6936.t1_1	rna-NM_165971.2_1
g6937.t1_1	rna-NM_139552.3_1
g6939.t1_1	rna-NM_142579.4_1
g6940.t1_1	rna-NM_169493.3_1
g6942.t1_1	rna-NM_001316459.1_1
g6944.t1_1	rna-NM_140679.4_1
g6946.t1_1	rna-NM_001104157.3_1
g6947.t1_1	rna-NM_001104158.2_1
g6948.t2_1	rna-NM_001259864.1_1
g6949.t1_1	rna-NM_001031956.2_1
g6950.t1_1	rna-NM_138159.4_1
g6951.t1_1	rna-NM_144353.4_1
g6953.t2_1	rna-NM_136834.2_1
g6957.t1_1	rna-NM_001104146.3_1
g6959.t1_1	rna-NM_001299440.1_1
g6962.t1_1	rna-NM_001275414.2_1
g6965.t1_1	rna-NM_142246.3_1
g6966.t1_1	rna-NM_169701.3_1
g6967.t1_1	rna-NM_143036.2_1
g6968.t1_1	rna-NM_133004.2_1
g6969.t1_1	rna-NM_001298508.1_1
g6971.t1_1	rna-NM_001103441.2_1
g6973.t1_1	rna-NM_132989.3_1
g6974.t1_1	rna-NM_057982.4_1
g6975.t1_1	rna-NM_079191.3_1
g6976.t1_1	rna-NM_143241.2_1
g6977.t1_1	rna-NM_143213.4_1
g6980.t1_1	rna-NM_142144.3_1
g6982.t1_1	rna-NM_001299549.1_1
g6983.t1_1	rna-NM_079035.3_1
g6984.t1_1	rna-NM_001260343.1_1
g6987.t1_1	rna-NM_136691.4_1
g6989.t1_1	rna-NM_141284.4_1
g6990.t1_1	rna-NM_141444.2_1
g6992.t1_1	rna-NM_142985.4_1
g6994.t1_1	rna-NM_001299178.1_1
g6995.t1_1	rna-NM_078857.4_1
g6996.t1_1	rna-NM_132494.3_1
g6997.t1_1	rna-NM_001297967.1_1
g6999.t1_1	rna-NM_001202286.1_1
g7000.t2_1	rna-NM_169510.3_1
g7001.t1_1	rna-NM_058161.4_1
g7003.t1_1	rna-NM_135015.2_1
g7004.t1_1	rna-NM_131966.2_1
g7005.t2_1	rna-NM_206486.3_1
g7006.t2_1	rna-NM_165949.2_1
g7009.t1_1	rna-NM_170453.2_1
g7010.t1_1	rna-NM_001272380.2_1
g7011.t1_1	rna-NM_079606.4_1
g7012.t1_1	rna-NM_143268.2_1
g7013.t1_1	rna-NM_143266.1_1
g7027.t2_1	rna-NM_080025.2_1
g7028.t2_1	rna-NM_001275797.1_1
g7031.t3_1	rna-NM_001275242.2_1
g7032.t1_1	rna-NM_057392.5_1
g7033.t1_1	rna-NM_001298121.1_1
g7037.t1_1	rna-NM_140163.2_1
g7039.t1_1	rna-NM_135265.5_1
g7041.t1_1	rna-NM_001273259.1_1
g7044.t1_1	rna-NM_001275341.1_1
g7049.t1_1	rna-NM_140101.2_1
g7058.t1_1	rna-NM_136681.5_1
g7063.t2_1	rna-NM_142606.4_1
g7064.t1_1	rna-NM_001273439.2_1
g7073.t1_1	rna-NM_057624.4_1
g7074.t1_1	rna-NM_141250.3_1
g7080.t1_1	rna-NM_137102.4_1
g7087.t1_1	rna-NM_170107.4_1
g7088.t1_1	rna-NM_078513.3_1
g7091.t1_1	rna-NM_001273283.1_1
g7094.t1_1	rna-NM_132301.4_1
g7095.t1_1	rna-NM_141345.2_1
g7096.t2_1	rna-NM_145191.2_1
g7098.t1_1	rna-NM_132770.2_1
g7102.t1_1	rna-NM_001259455.2_1
g7103.t1_1	rna-NM_132081.4_1
g7104.t1_1	rna-NM_165763.3_1
g7105.t1_1	rna-NM_057911.4_1
g7107.t2_1	rna-NM_135402.3_1
g7108.t2_1	rna-NM_142439.3_1
g7110.t1_1	rna-NM_169575.3_1
g7111.t1_1	rna-NM_137927.3_1
g7114.t2_1	rna-NM_001038847.2_1
g7115.t1_1	rna-NM_140524.4_1
g7116.t1_1	rna-NM_001300079.1_1
g7117.t1_1	rna-NM_142494.3_1
g7118.t1_1	rna-NM_176272.2_1
g7121.t1_1	rna-NM_135753.4_1
g7122.t1_1	rna-NM_001298855.1_1
g7124.t1_1	rna-NM_169906.2_1
g7126.t1_1	rna-NM_134728.2_1
g7128.t1_1	rna-NM_134729.3_1
g7130.t1_1	rna-NM_001299113.1_1
g7136.t1_1	rna-NM_141009.3_1
g7137.t1_1	rna-NM_001272353.1_1
g7141.t1_1	rna-NM_001300306.1_1
g7142.t1_1	rna-NM_001275359.1_1
g7143.t1_1	rna-NM_136251.4_1
g7144.t1_1	rna-NM_001038712.3_1
g7145.t1_1	rna-NM_136423.2_1
g7146.t1_1	rna-NM_140905.3_1
g7147.t1_1	rna-NM_140984.3_1
g7148.t1_1	rna-NM_136954.4_1
g7149.t1_1	rna-NM_001298090.1_1
g7150.t1_1	rna-NM_132252.5_1
g7152.t1_1	rna-NM_001275995.1_1
g7714.t1_1	rna-NM_139868.3_1
g7715.t1_1	rna-NM_137129.4_1
g7716.t1_1	rna-NM_135559.3_1
g7718.t1_1	rna-NM_136773.3_1
g7719.t1_1	rna-NM_001144677.3_1
g7720.t1_1	rna-NM_001300106.1_1
g7721.t2_1	rna-NM_079455.4_1
g7722.t1_1	rna-NM_135148.3_1
g7723.t2_1	rna-NM_078783.3_1
g7725.t5_1	rna-NM_206172.3_1
g7726.t2_1	rna-NM_165086.3_1
g7727.t1_1	rna-NM_001382185.1_1
g7728.t1_1	rna-NM_141076.5_1
g7729.t1_1	rna-NM_132247.4_1
g7730.t1_1	rna-NM_001144379.3_1
g7731.t2_1	rna-NM_135573.4_1
g7732.t1_1	rna-NM_143083.3_1
g7733.t1_1	rna-NM_140021.2_1
g7735.t1_1	rna-NM_142772.1_1
g7737.t3_1	rna-NM_001274172.1_1
g7738.t1_1	rna-NM_079410.3_1
g7739.t1_1	rna-NM_167174.4_1
g7740.t1_1	rna-NM_132193.2_1
g7741.t1_1	rna-NM_132855.4_1
g7742.t1_1	rna-NM_001272196.2_1
g7745.t1_1	rna-NM_080381.5_1
g7748.t1_1	rna-NM_080035.3_1
g7750.t1_1	rna-NM_001300195.1_1
g7751.t1_1	rna-NM_176365.3_1
g7753.t1_1	rna-NM_001275155.1_1
g7755.t1_1	rna-NM_136779.4_1
g7758.t1_1	rna-NM_135599.5_1
g7760.t1_1	rna-NM_164866.3_1
g7765.t1_1	rna-NM_136958.5_1
g7766.t1_1	rna-NM_143099.4_1
g7767.t2_1	rna-NM_170510.2_1
g7769.t1_1	rna-NM_206105.4_1
g7770.t2_1	rna-NM_166780.2_1
g7771.t1_1	rna-NM_001298658.1_1
g7772.t1_1	rna-NM_141646.2_1
g7773.t1_1	rna-NM_079008.4_1
g7774.t3_1	rna-NM_167830.4_1
g7775.t1_1	rna-NM_139379.4_1
g7781.t1_1	rna-NM_140802.3_1
g7782.t2_1	rna-NM_169858.1_1
g7784.t1_1	rna-NM_078978.2_1
g7787.t1_1	rna-NM_138052.3_1
g7788.t1_1	rna-NM_001258687.3_1
g7790.t1_1	rna-NM_143711.3_1
g7792.t1_1	rna-NM_142862.2_1
g7793.t1_1	rna-NM_057634.5_1
g7794.t1_1	rna-NM_140698.3_1
g7795.t1_1	rna-NM_134897.5_1
g7796.t1_1	rna-NM_001298192.1_1
g7797.t1_1	rna-NM_133091.3_1
g7798.t1_1	rna-NM_078609.4_1
g7807.t1_1	rna-NM_058035.4_1
g7808.t1_1	rna-NM_134672.2_1
g7813.t1_1	rna-NM_136140.3_1
g7814.t1_1	rna-NM_135461.4_1
g7816.t1_1	rna-NM_165419.3_1
g7817.t1_1	rna-NM_165262.3_1
g7818.t1_1	rna-NM_001299130.1_1
g7819.t1_1	rna-NM_136412.4_1
g7820.t1_1	rna-NM_079909.3_1
g7821.t1_1	rna-NM_136212.2_1
g7823.t1_1	rna-NM_169801.2_1
g7829.t1_1	rna-NM_135832.3_1
g7831.t1_1	rna-NM_141799.2_1
g7832.t2_1	rna-NM_001259478.2_1
g7833.t2_1	rna-NM_001038756.2_1
g7836.t1_1	rna-NM_167072.2_1
g7837.t1_1	rna-NM_079004.5_1
g7847.t1_1	rna-NM_206199.2_1
g7850.t1_1	rna-NM_139690.4_1
g7851.t1_1	rna-NM_166678.3_1
g7853.t3_1	rna-NM_001273397.1_1
g7854.t1_1	rna-NM_142483.3_1
g7858.t1_1	rna-NM_001274453.1_1
g7859.t1_1	rna-NM_001299841.1_1
g7860.t1_1	rna-NM_140530.3_1
g7861.t1_1	rna-NM_135691.2_1
g7878.t1_1	rna-NM_141777.4_1
g7879.t1_1	rna-NM_001299774.1_1
g7883.t1_1	rna-NM_001258479.3_1
g7884.t1_1	rna-NM_141999.3_1
g7888.t3_1	rna-NM_001273809.1_1
g7889.t1_1	rna-NM_132828.2_1
g7890.t1_1	rna-NM_001276231.1_1
g7892.t1_1	rna-NM_130494.4_1
g7893.t1_1	rna-NM_167348.2_1
g7896.t1_1	rna-NM_135787.4_1
g7897.t1_1	rna-NM_001272159.1_1
g7898.t1_1	rna-NM_001169420.3_1
g7901.t2_1	rna-NM_001032091.3_1
g7902.t1_1	rna-NM_137446.4_1
g7903.t1_1	rna-NM_142273.4_1
g7907.t1_1	rna-NM_170639.2_1
g7914.t2_1	rna-NM_001170279.2_1
g7915.t1_1	rna-NM_141930.3_1
g7917.t1_1	rna-NM_080141.4_1
g7920.t2_1	rna-NM_001274891.1_1
g7922.t1_1	rna-NM_001273364.1_1
g7923.t1_1	rna-NM_142405.3_1
g7924.t1_1	rna-NM_079428.3_1
g7925.t1_1	rna-NM_166426.2_1
g7928.t1_1	rna-NM_168028.2_1
g7931.t1_1	rna-NM_080298.4_1
g7932.t1_1	rna-NM_138039.3_1
g7933.t1_1	rna-NM_141578.2_1
g7934.t1_1	rna-NM_176322.3_1
g7938.t1_1	rna-NM_139573.2_1
g7939.t1_1	rna-NM_169098.4_1
g7940.t2_1	rna-NM_166911.4_1
g7941.t1_1	rna-NM_057758.5_1
g7942.t1_1	rna-NM_001382196.1_1
g7944.t2_1	rna-NM_001300631.1_1
g7945.t1_1	rna-NM_001370027.1_1
g7946.t2_1	rna-NM_140243.4_1
g7952.t1_1	rna-NM_138013.3_1
g7953.t1_1	rna-NM_137007.4_1
g7954.t2_1	rna-NM_139622.1_1
g7955.t1_1	rna-NM_143582.2_1
g7958.t2_1	rna-NM_136868.3_1
g7960.t1_1	rna-NM_001104107.2_1
g7961.t1_1	rna-NM_001273226.1_1
g7966.t1_1	rna-NM_001347753.1_1
g7968.t1_1	rna-NM_001274575.2_1
g7970.t1_1	rna-NM_001414077.1_1
g7971.t1_1	rna-NM_167790.3_1
g7972.t1_1	rna-NM_137292.4_1
g7973.t1_1	rna-NM_165459.2_1
g7974.t2_1	rna-NM_168448.3_1
g7976.t1_1	rna-NM_136518.4_1
g7977.t1_1	rna-NM_138269.3_1
g7978.t1_1	rna-NM_168288.3_1
g7979.t3_1	rna-NM_167669.3_1
g7980.t1_1	rna-NM_134812.3_1
g7981.t2_1	rna-NM_134771.4_1
g7982.t1_1	rna-NM_134810.3_1
g7983.t1_1	rna-NM_001170217.2_1
g7984.t1_1	rna-NM_079833.2_1
g7988.t1_1	rna-NM_166888.3_1
g7991.t1_1	rna-NM_142964.3_1
g7993.t2_1	rna-NM_001259946.2_1
g7995.t3_1	rna-NM_001274969.1_1
g7996.t1_1	rna-NM_141934.2_1
g7997.t2_1	rna-NM_169693.2_1
g7998.t1_1	rna-NM_168136.2_1
g7999.t1_1	rna-NM_001038982.2_1
g8000.t1_1	rna-NM_130662.3_1
g8001.t1_1	rna-NM_080138.4_1
g8002.t1_1	rna-NM_001300174.1_1
g8004.t1_1	rna-NM_143344.3_1
g8005.t1_1	rna-NM_134510.2_1
g8008.t1_1	rna-NM_001275501.1_1
g8011.t1_1	rna-NM_135080.3_1
g8012.t1_1	rna-NM_132017.2_1
g8014.t1_1	rna-NM_079248.4_1
g8016.t1_1	rna-NM_139919.2_1
g8017.t1_1	rna-NM_001275324.1_1
g8018.t1_1	rna-NM_206692.3_1
g8019.t1_1	rna-NM_001316506.1_1
g8020.t1_1	rna-NM_136243.3_1
g8024.t1_1	rna-NM_141867.4_1
g8025.t1_1	rna-NM_001042934.2_1
g8026.t1_1	rna-NM_001274685.2_1
g8027.t1_1	rna-NM_166224.3_1
g8029.t1_1	rna-NM_137363.4_1
g8030.t1_1	rna-NM_137425.4_1
g8031.t1_1	rna-NM_001298469.1_1
g8032.t1_1	rna-NM_079943.4_1
g8033.t1_1	rna-NM_132840.5_1
g8034.t1_1	rna-NM_132545.3_1
g8035.t2_1	rna-NM_132955.4_1
g8037.t1_1	rna-NM_001144306.2_1
g8038.t1_1	rna-NM_141653.5_1
g8039.t2_1	rna-NM_140351.3_1
g8042.t1_1	rna-NM_143048.2_1
g8043.t1_1	rna-NM_079061.4_1
g8044.t1_1	rna-NM_140061.3_1
g8045.t1_1	rna-NM_141437.4_1
g8046.t1_1	rna-NM_001015261.3_1
g8049.t1_1	rna-NM_132615.3_1
g8050.t2_1	rna-NM_001300261.1_1
g8053.t1_1	rna-NM_165342.4_1
g8054.t1_1	rna-NM_141922.2_1
g8055.t1_1	rna-NM_143107.4_1
g8056.t1_1	rna-NM_135740.3_1
g8057.t1_1	rna-NM_134905.3_1
g8058.t1_1	rna-NM_079721.4_1
g8060.t1_1	rna-NM_001297925.1_1
g8061.t1_1	rna-NM_001272785.1_1
g8062.t1_1	rna-NM_134533.4_1
g8063.t1_1	rna-NM_140833.3_1
