chromosome,A_obtectus,B_siliquastri,C_chinensis,C_maculatus,four_way_OG_ID,pairs_OG_IDs_lists
A,rna-AOBTE_LOCUS9653-2,BRAKERILHT00000003817,CALCHIM00000022391,g12331.t1,1862,"['B_siliquastri_C_maculatus_A-linked_ortholog_1938', 'A_obtectus_C_chinensis_A-linked_ortholog_2306', 'A_obtectus_B_siliquastri_A-linked_ortholog_2212', 'B_siliquastri_C_chinensis_A-linked_ortholog_2098', 'C_chinensis_C_maculatus_A-linked_ortholog_6370', 'A_obtectus_C_maculatus_A-linked_ortholog_2089']"
A,rna-AOBTE_LOCUS9655,BRAKERILHT00000003209,CALCHIM00000022389,g12332.t1,1863,"['B_siliquastri_C_maculatus_A-linked_ortholog_1939', 'A_obtectus_C_chinensis_A-linked_ortholog_2307', 'A_obtectus_B_siliquastri_A-linked_ortholog_2213', 'B_siliquastri_C_chinensis_A-linked_ortholog_2099', 'C_chinensis_C_maculatus_A-linked_ortholog_6369', 'A_obtectus_C_maculatus_A-linked_ortholog_2090']"
A,rna-AOBTE_LOCUS9658,BRAKERILHT00000002835,CALCHIM00000022387,g12334.t1,1864,"['B_siliquastri_C_maculatus_A-linked_ortholog_1941', 'A_obtectus_C_chinensis_A-linked_ortholog_2308', 'A_obtectus_B_siliquastri_A-linked_ortholog_2215', 'B_siliquastri_C_chinensis_A-linked_ortholog_2100', 'C_chinensis_C_maculatus_A-linked_ortholog_6368', 'A_obtectus_C_maculatus_A-linked_ortholog_2092']"
A,rna-AOBTE_LOCUS9675,BRAKERILHT00000003786,CALCHIM00000022381,g12336.t1,1865,"['B_siliquastri_C_maculatus_A-linked_ortholog_1943', 'A_obtectus_C_chinensis_A-linked_ortholog_2309', 'A_obtectus_B_siliquastri_A-linked_ortholog_2217', 'B_siliquastri_C_chinensis_A-linked_ortholog_2101', 'C_chinensis_C_maculatus_A-linked_ortholog_6366', 'A_obtectus_C_maculatus_A-linked_ortholog_2094']"
A,rna-AOBTE_LOCUS9678-2,BRAKERILHT00000004281,CALCHIM00000022377,g12337.t1,1866,"['B_siliquastri_C_maculatus_A-linked_ortholog_1944', 'A_obtectus_C_chinensis_A-linked_ortholog_2310', 'A_obtectus_B_siliquastri_A-linked_ortholog_2218', 'B_siliquastri_C_chinensis_A-linked_ortholog_2102', 'C_chinensis_C_maculatus_A-linked_ortholog_6365', 'A_obtectus_C_maculatus_A-linked_ortholog_2095']"
A,rna-AOBTE_LOCUS9681,BRAKERILHT00000003176,CALCHIM00000012154,g13753.t1,1867,"['B_siliquastri_C_maculatus_A-linked_ortholog_1946', 'A_obtectus_C_chinensis_A-linked_ortholog_2311', 'A_obtectus_B_siliquastri_A-linked_ortholog_2220', 'B_siliquastri_C_chinensis_A-linked_ortholog_2103', 'C_chinensis_C_maculatus_A-linked_ortholog_8479', 'A_obtectus_C_maculatus_A-linked_ortholog_2097']"
A,rna-AOBTE_LOCUS9682,BRAKERILHT00000004429,CALCHIM00000012156,g13754.t1,1868,"['B_siliquastri_C_maculatus_A-linked_ortholog_1947', 'A_obtectus_C_chinensis_A-linked_ortholog_2312', 'A_obtectus_B_siliquastri_A-linked_ortholog_2221', 'B_siliquastri_C_chinensis_A-linked_ortholog_2104', 'C_chinensis_C_maculatus_A-linked_ortholog_8480', 'A_obtectus_C_maculatus_A-linked_ortholog_2098']"
A,rna-AOBTE_LOCUS9689,BRAKERILHT00000002557,CALCHIM00000041524,g13759.t2,1869,"['B_siliquastri_C_maculatus_A-linked_ortholog_1950', 'A_obtectus_C_chinensis_A-linked_ortholog_2315', 'A_obtectus_B_siliquastri_A-linked_ortholog_2224', 'B_siliquastri_C_chinensis_A-linked_ortholog_2107', 'C_chinensis_C_maculatus_A-linked_ortholog_2688', 'A_obtectus_C_maculatus_A-linked_ortholog_2101']"
A,rna-AOBTE_LOCUS9695,BRAKERILHT00000002441,CALCHIM00000041530,g12209.t1,1870,"['B_siliquastri_C_maculatus_A-linked_ortholog_1951', 'A_obtectus_C_chinensis_A-linked_ortholog_2317', 'A_obtectus_B_siliquastri_A-linked_ortholog_2226', 'B_siliquastri_C_chinensis_A-linked_ortholog_2109', 'C_chinensis_C_maculatus_A-linked_ortholog_2689', 'A_obtectus_C_maculatus_A-linked_ortholog_2102']"
A,rna-AOBTE_LOCUS9704-2,BRAKERILHT00000003153,CALCHIM00000041547,g12213.t1,1871,"['B_siliquastri_C_maculatus_A-linked_ortholog_1955', 'A_obtectus_C_chinensis_A-linked_ortholog_2319', 'A_obtectus_B_siliquastri_A-linked_ortholog_2228', 'B_siliquastri_C_chinensis_A-linked_ortholog_2114', 'C_chinensis_C_maculatus_A-linked_ortholog_2693', 'A_obtectus_C_maculatus_A-linked_ortholog_2103']"
A,rna-AOBTE_LOCUS9706,BRAKERILHT00000004401,CALCHIM00000041559,g12215.t1,1872,"['B_siliquastri_C_maculatus_A-linked_ortholog_1957', 'A_obtectus_C_chinensis_A-linked_ortholog_2320', 'A_obtectus_B_siliquastri_A-linked_ortholog_2229', 'B_siliquastri_C_chinensis_A-linked_ortholog_2116', 'C_chinensis_C_maculatus_A-linked_ortholog_2695', 'A_obtectus_C_maculatus_A-linked_ortholog_2104']"
A,rna-AOBTE_LOCUS9719,BRAKERILHT00000002836,CALCHIM00000041568,g12217.t1,1873,"['B_siliquastri_C_maculatus_A-linked_ortholog_1958', 'A_obtectus_C_chinensis_A-linked_ortholog_2321', 'A_obtectus_B_siliquastri_A-linked_ortholog_2230', 'B_siliquastri_C_chinensis_A-linked_ortholog_2117', 'C_chinensis_C_maculatus_A-linked_ortholog_2696', 'A_obtectus_C_maculatus_A-linked_ortholog_2105']"
A,rna-AOBTE_LOCUS9722,BRAKERILHT00000002303,CALCHIM00000041571,g12222.t1,1874,"['B_siliquastri_C_maculatus_A-linked_ortholog_1959', 'A_obtectus_C_chinensis_A-linked_ortholog_2322', 'A_obtectus_B_siliquastri_A-linked_ortholog_2231', 'B_siliquastri_C_chinensis_A-linked_ortholog_2118', 'C_chinensis_C_maculatus_A-linked_ortholog_2697', 'A_obtectus_C_maculatus_A-linked_ortholog_2106']"
A,rna-AOBTE_LOCUS9728-2,BRAKERILHT00000002476,CALCHIM00000041577,g12220.t1,1875,"['B_siliquastri_C_maculatus_A-linked_ortholog_1960', 'A_obtectus_C_chinensis_A-linked_ortholog_2323', 'A_obtectus_B_siliquastri_A-linked_ortholog_2232', 'B_siliquastri_C_chinensis_A-linked_ortholog_2119', 'C_chinensis_C_maculatus_A-linked_ortholog_2698', 'A_obtectus_C_maculatus_A-linked_ortholog_2107']"
A,rna-AOBTE_LOCUS9729,BRAKERILHT00000003592,CALCHIM00000041580,g12219.t1,1876,"['B_siliquastri_C_maculatus_A-linked_ortholog_1961', 'A_obtectus_C_chinensis_A-linked_ortholog_2324', 'A_obtectus_B_siliquastri_A-linked_ortholog_2233', 'B_siliquastri_C_chinensis_A-linked_ortholog_2120', 'C_chinensis_C_maculatus_A-linked_ortholog_2699', 'A_obtectus_C_maculatus_A-linked_ortholog_2108']"
A,rna-AOBTE_LOCUS9731-2,BRAKERILHT00000004346,CALCHIM00000041581,g12223.t1,1877,"['B_siliquastri_C_maculatus_A-linked_ortholog_1962', 'A_obtectus_C_chinensis_A-linked_ortholog_2325', 'A_obtectus_B_siliquastri_A-linked_ortholog_2234', 'B_siliquastri_C_chinensis_A-linked_ortholog_2121', 'C_chinensis_C_maculatus_A-linked_ortholog_2700', 'A_obtectus_C_maculatus_A-linked_ortholog_2109']"
A,rna-AOBTE_LOCUS9732,BRAKERILHT00000002224,CALCHIM00000041587,g12224.t1,1878,"['B_siliquastri_C_maculatus_A-linked_ortholog_1963', 'A_obtectus_C_chinensis_A-linked_ortholog_2326', 'A_obtectus_B_siliquastri_A-linked_ortholog_2235', 'B_siliquastri_C_chinensis_A-linked_ortholog_2122', 'C_chinensis_C_maculatus_A-linked_ortholog_2701', 'A_obtectus_C_maculatus_A-linked_ortholog_2110']"
A,rna-AOBTE_LOCUS9733-2,BRAKERILHT00000002872,CALCHIM00000041588,g12225.t1,1879,"['B_siliquastri_C_maculatus_A-linked_ortholog_1964', 'A_obtectus_C_chinensis_A-linked_ortholog_2327', 'A_obtectus_B_siliquastri_A-linked_ortholog_2236', 'B_siliquastri_C_chinensis_A-linked_ortholog_2123', 'C_chinensis_C_maculatus_A-linked_ortholog_2702', 'A_obtectus_C_maculatus_A-linked_ortholog_2111']"
A,rna-AOBTE_LOCUS9734,BRAKERILHT00000003500,CALCHIM00000041589,g12226.t1,1880,"['B_siliquastri_C_maculatus_A-linked_ortholog_1965', 'A_obtectus_C_chinensis_A-linked_ortholog_2328', 'A_obtectus_B_siliquastri_A-linked_ortholog_2237', 'B_siliquastri_C_chinensis_A-linked_ortholog_2124', 'C_chinensis_C_maculatus_A-linked_ortholog_2703', 'A_obtectus_C_maculatus_A-linked_ortholog_2112']"
A,rna-AOBTE_LOCUS9740,BRAKERILHT00000002418,CALCHIM00000049297,g12178.t1,1881,"['B_siliquastri_C_maculatus_A-linked_ortholog_1977', 'A_obtectus_C_chinensis_A-linked_ortholog_2330', 'A_obtectus_B_siliquastri_A-linked_ortholog_2239', 'B_siliquastri_C_chinensis_A-linked_ortholog_2138', 'C_chinensis_C_maculatus_A-linked_ortholog_2307', 'A_obtectus_C_maculatus_A-linked_ortholog_2113']"
A,rna-AOBTE_LOCUS9741-2,BRAKERILHT00000003233,CALCHIM00000049294,g12177.t2,1882,"['B_siliquastri_C_maculatus_A-linked_ortholog_1978', 'A_obtectus_C_chinensis_A-linked_ortholog_2331', 'A_obtectus_B_siliquastri_A-linked_ortholog_2240', 'B_siliquastri_C_chinensis_A-linked_ortholog_2139', 'C_chinensis_C_maculatus_A-linked_ortholog_2306', 'A_obtectus_C_maculatus_A-linked_ortholog_2114']"
A,rna-AOBTE_LOCUS9742,BRAKERILHT00000003429,CALCHIM00000049292,g12176.t2,1883,"['B_siliquastri_C_maculatus_A-linked_ortholog_1979', 'A_obtectus_C_chinensis_A-linked_ortholog_2332', 'A_obtectus_B_siliquastri_A-linked_ortholog_2241', 'B_siliquastri_C_chinensis_A-linked_ortholog_2140', 'C_chinensis_C_maculatus_A-linked_ortholog_2305', 'A_obtectus_C_maculatus_A-linked_ortholog_2115']"
A,rna-AOBTE_LOCUS9744-2,BRAKERILHT00000004312,CALCHIM00000049285,g12175.t2,1884,"['B_siliquastri_C_maculatus_A-linked_ortholog_1980', 'A_obtectus_C_chinensis_A-linked_ortholog_2333', 'A_obtectus_B_siliquastri_A-linked_ortholog_2242', 'B_siliquastri_C_chinensis_A-linked_ortholog_2141', 'C_chinensis_C_maculatus_A-linked_ortholog_2304', 'A_obtectus_C_maculatus_A-linked_ortholog_2116']"
A,rna-AOBTE_LOCUS9745,BRAKERILHT00000002520,CALCHIM00000049282,g12174.t1,1885,"['B_siliquastri_C_maculatus_A-linked_ortholog_1981', 'A_obtectus_C_chinensis_A-linked_ortholog_2334', 'A_obtectus_B_siliquastri_A-linked_ortholog_2243', 'B_siliquastri_C_chinensis_A-linked_ortholog_2142', 'C_chinensis_C_maculatus_A-linked_ortholog_2303', 'A_obtectus_C_maculatus_A-linked_ortholog_2117']"
A,rna-AOBTE_LOCUS9746-2,BRAKERILHT00000003132,CALCHIM00000049280,g12173.t1,1886,"['B_siliquastri_C_maculatus_A-linked_ortholog_1982', 'A_obtectus_C_chinensis_A-linked_ortholog_2335', 'A_obtectus_B_siliquastri_A-linked_ortholog_2244', 'B_siliquastri_C_chinensis_A-linked_ortholog_2143', 'C_chinensis_C_maculatus_A-linked_ortholog_2302', 'A_obtectus_C_maculatus_A-linked_ortholog_2118']"
A,rna-AOBTE_LOCUS9749,BRAKERILHT00000002498,CALCHIM00000049279,g12172.t2,1887,"['B_siliquastri_C_maculatus_A-linked_ortholog_1983', 'A_obtectus_C_chinensis_A-linked_ortholog_2336', 'A_obtectus_B_siliquastri_A-linked_ortholog_2245', 'B_siliquastri_C_chinensis_A-linked_ortholog_2144', 'C_chinensis_C_maculatus_A-linked_ortholog_2301', 'A_obtectus_C_maculatus_A-linked_ortholog_2119']"
A,rna-AOBTE_LOCUS9752,BRAKERILHT00000003497,CALCHIM00000049272,g12170.t1,1888,"['B_siliquastri_C_maculatus_A-linked_ortholog_1985', 'A_obtectus_C_chinensis_A-linked_ortholog_2337', 'A_obtectus_B_siliquastri_A-linked_ortholog_2247', 'B_siliquastri_C_chinensis_A-linked_ortholog_2145', 'C_chinensis_C_maculatus_A-linked_ortholog_2300', 'A_obtectus_C_maculatus_A-linked_ortholog_2120']"
A,rna-AOBTE_LOCUS9755,BRAKERILHT00000002795,CALCHIM00000049266,g12167.t1,1889,"['B_siliquastri_C_maculatus_A-linked_ortholog_1987', 'A_obtectus_C_chinensis_A-linked_ortholog_2338', 'A_obtectus_B_siliquastri_A-linked_ortholog_2248', 'B_siliquastri_C_chinensis_A-linked_ortholog_2147', 'C_chinensis_C_maculatus_A-linked_ortholog_2297', 'A_obtectus_C_maculatus_A-linked_ortholog_2121']"
A,rna-AOBTE_LOCUS9757-9,BRAKERILHT00000003569,CALCHIM00000049254,g12165.t1,1890,"['B_siliquastri_C_maculatus_A-linked_ortholog_1989', 'A_obtectus_C_chinensis_A-linked_ortholog_2339', 'A_obtectus_B_siliquastri_A-linked_ortholog_2249', 'B_siliquastri_C_chinensis_A-linked_ortholog_2149', 'C_chinensis_C_maculatus_A-linked_ortholog_2295', 'A_obtectus_C_maculatus_A-linked_ortholog_2122']"
A,rna-AOBTE_LOCUS9759,BRAKERILHT00000002569,CALCHIM00000049251,g12164.t1,1891,"['B_siliquastri_C_maculatus_A-linked_ortholog_1990', 'A_obtectus_C_chinensis_A-linked_ortholog_2341', 'A_obtectus_B_siliquastri_A-linked_ortholog_2251', 'B_siliquastri_C_chinensis_A-linked_ortholog_2151', 'C_chinensis_C_maculatus_A-linked_ortholog_2294', 'A_obtectus_C_maculatus_A-linked_ortholog_2123']"
A,rna-AOBTE_LOCUS9763,BRAKERILHT00000002817,CALCHIM00000049247,g12162.t1,1892,"['B_siliquastri_C_maculatus_A-linked_ortholog_1992', 'A_obtectus_C_chinensis_A-linked_ortholog_2342', 'A_obtectus_B_siliquastri_A-linked_ortholog_2253', 'B_siliquastri_C_chinensis_A-linked_ortholog_2153', 'C_chinensis_C_maculatus_A-linked_ortholog_2292', 'A_obtectus_C_maculatus_A-linked_ortholog_2124']"
A,rna-AOBTE_LOCUS9764,BRAKERILHT00000004102,CALCHIM00000049146,g12138.t1,1893,"['B_siliquastri_C_maculatus_A-linked_ortholog_2011', 'A_obtectus_C_chinensis_A-linked_ortholog_2343', 'A_obtectus_B_siliquastri_A-linked_ortholog_2254', 'B_siliquastri_C_chinensis_A-linked_ortholog_2172', 'C_chinensis_C_maculatus_A-linked_ortholog_2274', 'A_obtectus_C_maculatus_A-linked_ortholog_2125']"
A,rna-AOBTE_LOCUS9766,BRAKERILHT00000004152,CALCHIM00000049150,g12139.t1,1894,"['B_siliquastri_C_maculatus_A-linked_ortholog_2010', 'A_obtectus_C_chinensis_A-linked_ortholog_2344', 'A_obtectus_B_siliquastri_A-linked_ortholog_2255', 'B_siliquastri_C_chinensis_A-linked_ortholog_2171', 'C_chinensis_C_maculatus_A-linked_ortholog_2275', 'A_obtectus_C_maculatus_A-linked_ortholog_2126']"
A,rna-AOBTE_LOCUS9769-2,BRAKERILHT00000002489,CALCHIM00000049152,g12140.t1,1895,"['B_siliquastri_C_maculatus_A-linked_ortholog_2009', 'A_obtectus_C_chinensis_A-linked_ortholog_2345', 'A_obtectus_B_siliquastri_A-linked_ortholog_2256', 'B_siliquastri_C_chinensis_A-linked_ortholog_2170', 'C_chinensis_C_maculatus_A-linked_ortholog_2276', 'A_obtectus_C_maculatus_A-linked_ortholog_2127']"
A,rna-AOBTE_LOCUS9770-3,BRAKERILHT00000002940,CALCHIM00000049153,g12141.t1,1896,"['B_siliquastri_C_maculatus_A-linked_ortholog_2008', 'A_obtectus_C_chinensis_A-linked_ortholog_2346', 'A_obtectus_B_siliquastri_A-linked_ortholog_2257', 'B_siliquastri_C_chinensis_A-linked_ortholog_2169', 'C_chinensis_C_maculatus_A-linked_ortholog_2277', 'A_obtectus_C_maculatus_A-linked_ortholog_2128']"
A,rna-AOBTE_LOCUS9772,BRAKERILHT00000003439,CALCHIM00000049155,g12143.t2,1897,"['B_siliquastri_C_maculatus_A-linked_ortholog_2007', 'A_obtectus_C_chinensis_A-linked_ortholog_2347', 'A_obtectus_B_siliquastri_A-linked_ortholog_2258', 'B_siliquastri_C_chinensis_A-linked_ortholog_2168', 'C_chinensis_C_maculatus_A-linked_ortholog_2278', 'A_obtectus_C_maculatus_A-linked_ortholog_2129']"
A,rna-AOBTE_LOCUS9774,BRAKERILHT00000003800,CALCHIM00000049170,g12146.t1,1898,"['B_siliquastri_C_maculatus_A-linked_ortholog_2005', 'A_obtectus_C_chinensis_A-linked_ortholog_2348', 'A_obtectus_B_siliquastri_A-linked_ortholog_2259', 'B_siliquastri_C_chinensis_A-linked_ortholog_2166', 'C_chinensis_C_maculatus_A-linked_ortholog_2280', 'A_obtectus_C_maculatus_A-linked_ortholog_2130']"
A,rna-AOBTE_LOCUS9775,BRAKERILHT00000002216,CALCHIM00000049164,g12144.t1,1899,"['B_siliquastri_C_maculatus_A-linked_ortholog_2006', 'A_obtectus_C_chinensis_A-linked_ortholog_2349', 'A_obtectus_B_siliquastri_A-linked_ortholog_2260', 'B_siliquastri_C_chinensis_A-linked_ortholog_2167', 'C_chinensis_C_maculatus_A-linked_ortholog_2279', 'A_obtectus_C_maculatus_A-linked_ortholog_2131']"
A,rna-AOBTE_LOCUS9776-2,BRAKERILHT00000004335,CALCHIM00000049173,g12147.t1,1900,"['B_siliquastri_C_maculatus_A-linked_ortholog_2004', 'A_obtectus_C_chinensis_A-linked_ortholog_2350', 'A_obtectus_B_siliquastri_A-linked_ortholog_2261', 'B_siliquastri_C_chinensis_A-linked_ortholog_2165', 'C_chinensis_C_maculatus_A-linked_ortholog_2281', 'A_obtectus_C_maculatus_A-linked_ortholog_2132']"
A,rna-AOBTE_LOCUS9777,BRAKERILHT00000002622,CALCHIM00000049176,g12148.t1,1901,"['B_siliquastri_C_maculatus_A-linked_ortholog_2003', 'A_obtectus_C_chinensis_A-linked_ortholog_2351', 'A_obtectus_B_siliquastri_A-linked_ortholog_2262', 'B_siliquastri_C_chinensis_A-linked_ortholog_2164', 'C_chinensis_C_maculatus_A-linked_ortholog_2282', 'A_obtectus_C_maculatus_A-linked_ortholog_2133']"
A,rna-AOBTE_LOCUS9780-6,BRAKERILHT00000002220,CALCHIM00000036032,g10957.t4,1902,"['B_siliquastri_C_maculatus_A-linked_ortholog_1819', 'A_obtectus_C_chinensis_A-linked_ortholog_2353', 'A_obtectus_B_siliquastri_A-linked_ortholog_2263', 'B_siliquastri_C_chinensis_A-linked_ortholog_1957', 'C_chinensis_C_maculatus_A-linked_ortholog_8679', 'A_obtectus_C_maculatus_A-linked_ortholog_2134']"
A,rna-AOBTE_LOCUS9781-2,BRAKERILHT00000003586,CALCHIM00000036029,g10956.t1,1903,"['B_siliquastri_C_maculatus_A-linked_ortholog_1822', 'A_obtectus_C_chinensis_A-linked_ortholog_2354', 'A_obtectus_B_siliquastri_A-linked_ortholog_2264', 'B_siliquastri_C_chinensis_A-linked_ortholog_1960', 'C_chinensis_C_maculatus_A-linked_ortholog_8678', 'A_obtectus_C_maculatus_A-linked_ortholog_2135']"
A,rna-AOBTE_LOCUS9782,BRAKERILHT00000002183,CALCHIM00000010002,g10955.t2,1904,"['B_siliquastri_C_maculatus_A-linked_ortholog_1823', 'A_obtectus_C_chinensis_A-linked_ortholog_2355', 'A_obtectus_B_siliquastri_A-linked_ortholog_2265', 'B_siliquastri_C_chinensis_A-linked_ortholog_1962', 'C_chinensis_C_maculatus_A-linked_ortholog_8653', 'A_obtectus_C_maculatus_A-linked_ortholog_2136']"
A,rna-AOBTE_LOCUS9786,BRAKERILHT00000002231,CALCHIM00000009997,g10954.t1,1905,"['B_siliquastri_C_maculatus_A-linked_ortholog_1825', 'A_obtectus_C_chinensis_A-linked_ortholog_2357', 'A_obtectus_B_siliquastri_A-linked_ortholog_2268', 'B_siliquastri_C_chinensis_A-linked_ortholog_1963', 'C_chinensis_C_maculatus_A-linked_ortholog_8652', 'A_obtectus_C_maculatus_A-linked_ortholog_2138']"
A,rna-AOBTE_LOCUS9787-2,BRAKERILHT00000004416,CALCHIM00000009996,g1819.t1,1906,"['B_siliquastri_C_maculatus_A-linked_ortholog_1826', 'A_obtectus_C_chinensis_A-linked_ortholog_2358', 'A_obtectus_B_siliquastri_A-linked_ortholog_2269', 'B_siliquastri_C_chinensis_A-linked_ortholog_1964', 'C_chinensis_C_maculatus_A-linked_ortholog_8651', 'A_obtectus_C_maculatus_A-linked_ortholog_2139']"
A,rna-AOBTE_LOCUS9788,BRAKERILHT00000003510,CALCHIM00000057008,g12058.t1,1907,"['B_siliquastri_C_maculatus_A-linked_ortholog_2187', 'A_obtectus_C_chinensis_A-linked_ortholog_2359', 'A_obtectus_B_siliquastri_A-linked_ortholog_2270', 'B_siliquastri_C_chinensis_A-linked_ortholog_2358', 'C_chinensis_C_maculatus_A-linked_ortholog_5539', 'A_obtectus_C_maculatus_A-linked_ortholog_2140']"
A,rna-AOBTE_LOCUS9789,BRAKERILHT00000003995,CALCHIM00000015525,g12036.t1,1908,"['B_siliquastri_C_maculatus_A-linked_ortholog_2188', 'A_obtectus_C_chinensis_A-linked_ortholog_2360', 'A_obtectus_B_siliquastri_A-linked_ortholog_2271', 'B_siliquastri_C_chinensis_A-linked_ortholog_2359', 'C_chinensis_C_maculatus_A-linked_ortholog_8207', 'A_obtectus_C_maculatus_A-linked_ortholog_2141']"
A,rna-AOBTE_LOCUS9790,BRAKERILHT00000003470,CALCHIM00000039574,g8833.t1,1909,"['B_siliquastri_C_maculatus_A-linked_ortholog_2184', 'A_obtectus_C_chinensis_A-linked_ortholog_2361', 'A_obtectus_B_siliquastri_A-linked_ortholog_2272', 'B_siliquastri_C_chinensis_A-linked_ortholog_2355', 'C_chinensis_C_maculatus_A-linked_ortholog_7602', 'A_obtectus_C_maculatus_A-linked_ortholog_2142']"
A,rna-AOBTE_LOCUS9798,BRAKERILHT00000003810,CALCHIM00000049179,g12149.t1,1910,"['B_siliquastri_C_maculatus_A-linked_ortholog_2002', 'A_obtectus_C_chinensis_A-linked_ortholog_2365', 'A_obtectus_B_siliquastri_A-linked_ortholog_2275', 'B_siliquastri_C_chinensis_A-linked_ortholog_2163', 'C_chinensis_C_maculatus_A-linked_ortholog_2283', 'A_obtectus_C_maculatus_A-linked_ortholog_2144']"
A,rna-AOBTE_LOCUS9799,BRAKERILHT00000004377,CALCHIM00000049183,g12150.t1,1911,"['B_siliquastri_C_maculatus_A-linked_ortholog_2001', 'A_obtectus_C_chinensis_A-linked_ortholog_2366', 'A_obtectus_B_siliquastri_A-linked_ortholog_2276', 'B_siliquastri_C_chinensis_A-linked_ortholog_2162', 'C_chinensis_C_maculatus_A-linked_ortholog_2284', 'A_obtectus_C_maculatus_A-linked_ortholog_2145']"
A,rna-AOBTE_LOCUS9807,BRAKERILHT00000003339,CALCHIM00000049132,g12134.t1,1912,"['B_siliquastri_C_maculatus_A-linked_ortholog_2014', 'A_obtectus_C_chinensis_A-linked_ortholog_2369', 'A_obtectus_B_siliquastri_A-linked_ortholog_2280', 'B_siliquastri_C_chinensis_A-linked_ortholog_2175', 'C_chinensis_C_maculatus_A-linked_ortholog_2270', 'A_obtectus_C_maculatus_A-linked_ortholog_2150']"
A,rna-AOBTE_LOCUS9809,BRAKERILHT00000002853,CALCHIM00000049136,g12136.t1,1913,"['B_siliquastri_C_maculatus_A-linked_ortholog_2013', 'A_obtectus_C_chinensis_A-linked_ortholog_2370', 'A_obtectus_B_siliquastri_A-linked_ortholog_2281', 'B_siliquastri_C_chinensis_A-linked_ortholog_2174', 'C_chinensis_C_maculatus_A-linked_ortholog_2272', 'A_obtectus_C_maculatus_A-linked_ortholog_2151']"
A,rna-AOBTE_LOCUS9815-3,BRAKERILHT00000003612,CALCHIM00000049218,g12157.t1,1914,"['B_siliquastri_C_maculatus_A-linked_ortholog_1995', 'A_obtectus_C_chinensis_A-linked_ortholog_2372', 'A_obtectus_B_siliquastri_A-linked_ortholog_2283', 'B_siliquastri_C_chinensis_A-linked_ortholog_2156', 'C_chinensis_C_maculatus_A-linked_ortholog_2289', 'A_obtectus_C_maculatus_A-linked_ortholog_2154']"
A,rna-AOBTE_LOCUS9816,BRAKERILHT00000002737,CALCHIM00000049217,g12156.t1,1915,"['B_siliquastri_C_maculatus_A-linked_ortholog_1996', 'A_obtectus_C_chinensis_A-linked_ortholog_2373', 'A_obtectus_B_siliquastri_A-linked_ortholog_2284', 'B_siliquastri_C_chinensis_A-linked_ortholog_2157', 'C_chinensis_C_maculatus_A-linked_ortholog_2288', 'A_obtectus_C_maculatus_A-linked_ortholog_2155']"
A,rna-AOBTE_LOCUS9817-2,BRAKERILHT00000003883,CALCHIM00000049213,g12155.t1,1916,"['B_siliquastri_C_maculatus_A-linked_ortholog_1997', 'A_obtectus_C_chinensis_A-linked_ortholog_2374', 'A_obtectus_B_siliquastri_A-linked_ortholog_2285', 'B_siliquastri_C_chinensis_A-linked_ortholog_2158', 'C_chinensis_C_maculatus_A-linked_ortholog_2287', 'A_obtectus_C_maculatus_A-linked_ortholog_2156']"
A,rna-AOBTE_LOCUS9850,BRAKERILHT00000003009,CALCHIM00000041616,g12228.t1,1917,"['B_siliquastri_C_maculatus_A-linked_ortholog_1966', 'A_obtectus_C_chinensis_A-linked_ortholog_2379', 'A_obtectus_B_siliquastri_A-linked_ortholog_2290', 'B_siliquastri_C_chinensis_A-linked_ortholog_2126', 'C_chinensis_C_maculatus_A-linked_ortholog_2704', 'A_obtectus_C_maculatus_A-linked_ortholog_2160']"
A,rna-AOBTE_LOCUS9855,BRAKERILHT00000004166,CALCHIM00000033515,g12230.t1,1918,"['B_siliquastri_C_maculatus_A-linked_ortholog_1413', 'A_obtectus_C_chinensis_A-linked_ortholog_2380', 'A_obtectus_B_siliquastri_A-linked_ortholog_2291', 'B_siliquastri_C_chinensis_A-linked_ortholog_1511', 'C_chinensis_C_maculatus_A-linked_ortholog_7139', 'A_obtectus_C_maculatus_A-linked_ortholog_2161']"
A,rna-AOBTE_LOCUS9864,BRAKERILHT00000003496,CALCHIM00000033501,g12233.t1,1919,"['B_siliquastri_C_maculatus_A-linked_ortholog_1969', 'A_obtectus_C_chinensis_A-linked_ortholog_2382', 'A_obtectus_B_siliquastri_A-linked_ortholog_2293', 'B_siliquastri_C_chinensis_A-linked_ortholog_2129', 'C_chinensis_C_maculatus_A-linked_ortholog_7138', 'A_obtectus_C_maculatus_A-linked_ortholog_2163']"
A,rna-AOBTE_LOCUS9869,BRAKERILHT00000003535,CALCHIM00000033494,g12237.t1,1920,"['B_siliquastri_C_maculatus_A-linked_ortholog_1972', 'A_obtectus_C_chinensis_A-linked_ortholog_2385', 'A_obtectus_B_siliquastri_A-linked_ortholog_2294', 'B_siliquastri_C_chinensis_A-linked_ortholog_2131', 'C_chinensis_C_maculatus_A-linked_ortholog_7135', 'A_obtectus_C_maculatus_A-linked_ortholog_2166']"
